Start time (s) =
1552317296
'Reltime', '44.00[A]', '28.00[A]'
0.000000000000000000e+00 6.148741672068469555e-12 6.113520280293105458e-12
2.650000000000000133e-01 5.815074116677365623e-12 6.024543711125041057e-12
5.460000000000000409e-01 5.681607961882662039e-12 5.846587970703698289e-12
8.120000000000000551e-01 5.800244399362108894e-12 6.100544115011929946e-12
1.078000000000000069e+00 5.709413844479094280e-12 6.054203579436423510e-12
1.342999999999999972e+00 5.711266962832306504e-12 5.948541572514676190e-12
1.625000000000000000e+00 5.720535590364450584e-12 6.206205688252808272e-12
1.890000000000000124e+00 5.978199272421713673e-12 6.204353437261334037e-12
2.156000000000000139e+00 5.562971090722346190e-12 5.861417688018955019e-12
2.420999999999999819e+00 5.898491330785793352e-12 5.915173732773393311e-12
2.702999999999999847e+00 5.884067538763915195e-12 5.748341039280013831e-12
2.983999999999999986e+00 5.959663752080901489e-12 5.922589675633194162e-12
3.250000000000000000e+00 5.985616082643252511e-12 6.054202712074685522e-12
3.515000000000000124e+00 5.828050281958541134e-12 5.753902129063126480e-12
3.796000000000000263e+00 5.896636477709105151e-12 6.243281065743122582e-12
4.062000000000000277e+00 5.611167346736278816e-12 6.013286223127689567e-12
4.328000000000000291e+00 5.974493035715289224e-12 6.284061812578123352e-12
4.592999999999999972e+00 6.024543277444172062e-12 6.111667161939893234e-12
4.875000000000000000e+00 5.568530879462851857e-12 6.104286347230480914e-12
5.139999999999999680e+00 5.879954509402374185e-12 6.139473044536325474e-12
5.405999999999999694e+00 5.661217588465161654e-12 5.989322319349676960e-12
5.671000000000000263e+00 5.809512159532514985e-12 6.209914527044446686e-12
5.953000000000000291e+00 5.590776539637909437e-12 5.959663752080901489e-12
6.217999999999999972e+00 5.646387437469035930e-12 6.056055830427897746e-12
6.483999999999999986e+00 5.755756114778076693e-12 6.027845757261562909e-12
6.764999999999999680e+00 5.670485348635567746e-12 6.143180148604487911e-12
7.030999999999999694e+00 5.649286594078262169e-12 5.774293369842364854e-12
7.312000000000000277e+00 5.716625523649598861e-12 5.860405910551591546e-12
7.578000000000000291e+00 5.529604552023670294e-12 5.811367446290072181e-12
7.842999999999999972e+00 6.067178877355861033e-12 5.922589241952325168e-12
8.125000000000000000e+00 5.624143512017454327e-12 5.857709716589054594e-12
8.390000000000000568e+00 5.531457670376882518e-12 5.889222703253649271e-12
8.656000000000000583e+00 5.507359325529481708e-12 5.861417688018955019e-12
8.920999999999999375e+00 5.663071140499242873e-12 6.022690159090959838e-12
9.202999999999999403e+00 5.605605823272297172e-12 5.894783793036761921e-12
9.467999999999999972e+00 6.118846315045223250e-12 6.280354708509960915e-12
9.733999999999999986e+00 5.733511321964757101e-12 5.974492168353551236e-12
1.000000000000000000e+01 5.824343611571247692e-12 5.850295074771860726e-12
1.028100000000000058e+01 5.740285850819315527e-12 5.766877860663432998e-12
1.054599999999999937e+01 5.587068134527140018e-12 5.700245830908556854e-12
1.081199999999999939e+01 5.623805240939638850e-12 6.067179744717599021e-12
1.109299999999999997e+01 5.661218022146030648e-12 5.904086247676687549e-12
1.135899999999999999e+01 5.753026093707758193e-12 5.922286532705767215e-12
1.162500000000000000e+01 5.655656498682049005e-12 6.011466498201389896e-12
1.189000000000000057e+01 5.577799940675864931e-12 5.645645409502186851e-12
1.217099999999999937e+01 5.846587537022829295e-12 5.854003479882630145e-12
1.245299999999999940e+01 5.596336328378415104e-12 5.635263956860203649e-12
1.271799999999999997e+01 5.663071140499242873e-12 6.041226980474379005e-12
1.298399999999999999e+01 5.666778678248274304e-12 5.822489625856297479e-12
1.326500000000000057e+01 5.548141807087958455e-12 5.878606195580671212e-12
1.353100000000000058e+01 5.560105761220901499e-12 6.113520280293105458e-12
1.381199999999999939e+01 5.874393419619261536e-12 6.044226317364342904e-12
1.409299999999999997e+01 5.701998768981031418e-12 5.750194591314095049e-12
1.435899999999999999e+01 5.605605823272297172e-12 5.991176738745496166e-12
1.462500000000000000e+01 5.607459808987247385e-12 5.933711855199419460e-12
1.489000000000000057e+01 5.399844633935391158e-12 5.896637778751712133e-12
1.517099999999999937e+01 5.546288255053877236e-12 5.854002178840023163e-12
1.543699999999999939e+01 5.429066484569089468e-12 6.026397263159122275e-12
1.570299999999999940e+01 6.016926106661157903e-12 5.723905724397404526e-12
1.596799999999999997e+01 5.512786407924075149e-12 6.054201844712947533e-12
1.625000000000000000e+01 5.776686420877474859e-12 5.711267830194044492e-12
1.651500000000000057e+01 5.538872312194076386e-12 5.689022603699855907e-12
1.679599999999999937e+01 5.813221432005022393e-12 5.978201874506927638e-12
1.706200000000000117e+01 5.309012344328900568e-12 6.035126391690237568e-12
1.732799999999999940e+01 5.691145471553582524e-12 5.985615648962383517e-12
1.760900000000000176e+01 5.689022603699855907e-12 6.147966250674707922e-12
1.787500000000000000e+01 5.555556015224283328e-12 6.074593085492185907e-12
1.814000000000000057e+01 5.452724643334461163e-12 5.839173762567373416e-12
1.842099999999999937e+01 5.537018326479126173e-12 5.781707577978689727e-12
1.868700000000000117e+01 5.974493903077027213e-12 5.920736557279981938e-12
1.895299999999999940e+01 5.478205562792215488e-12 6.132057969038262613e-12
1.921799999999999997e+01 5.620435540587553902e-12 5.809513894255990962e-12
1.950000000000000000e+01 5.527750132627851087e-12 5.811265964966727537e-12
1.978099999999999881e+01 5.498089830635599640e-12 5.603751837557346960e-12
2.004599999999999937e+01 5.694786222448788848e-12 5.714974934262206929e-12
2.032799999999999940e+01 5.503652221461319272e-12 5.989322753030545954e-12
2.060900000000000176e+01 5.588921686561221236e-12 5.760305427093825870e-12
2.089000000000000057e+01 5.299844764439232137e-12 5.794683743259865238e-12
2.117099999999999937e+01 5.456365827910536481e-12 5.724243128113482015e-12
2.143700000000000117e+01 5.494383160248306197e-12 6.274794486088586254e-12
2.170299999999999940e+01 5.549994491760301685e-12 5.820635640141347267e-12
2.196799999999999997e+01 5.453601546051567439e-12 5.705705439368324861e-12
2.225000000000000000e+01 5.663071574180111867e-12 6.102398534407749153e-12
2.253099999999999881e+01 5.459162202153811094e-12 5.907760391998806426e-12
2.279599999999999937e+01 5.081007663221281945e-12 5.917028585850081512e-12
2.306200000000000117e+01 5.445444876267524492e-12 5.928150331735437817e-12
2.334299999999999997e+01 5.621986383375077168e-12 6.011565811120389569e-12
2.360900000000000176e+01 5.507325498421700161e-12 5.950394690867888414e-12
2.389000000000000057e+01 5.346087288138345883e-12 5.744633501530982400e-12
2.415599999999999881e+01 5.388722454369165860e-12 6.067178877355861033e-12
2.442099999999999937e+01 5.588921686561221236e-12 6.028251248874072488e-12
2.468700000000000117e+01 5.301598569873444688e-12 5.742780383177770176e-12
2.496799999999999997e+01 5.549994925441170679e-12 5.785415549408590152e-12
2.523400000000000176e+01 5.718682038330369366e-12 6.119082237437956096e-12
2.550000000000000000e+01 5.492530475575962967e-12 5.892929807321811708e-12
2.578099999999999881e+01 5.114374201919957841e-12 5.985615215281514523e-12
2.604599999999999937e+01 5.536446735093791816e-12 5.889223136934518266e-12
2.632799999999999940e+01 5.592630091671990655e-12 5.800245266723846882e-12
2.659299999999999997e+01 5.455455098085648658e-12 5.783561997374508934e-12
2.685900000000000176e+01 5.344233302423395671e-12 6.037519009044478580e-12
2.714000000000000057e+01 5.486968518431112329e-12 5.588922553922959224e-12
2.740599999999999881e+01 5.616526341234440167e-12 5.763170756595270561e-12
2.768700000000000117e+01 5.416527903284729106e-12 5.781707144297820733e-12
2.795299999999999940e+01 5.594482342663464891e-12 5.975065494462361571e-12
2.821799999999999997e+01 5.512919547950856369e-12 5.460005711444004817e-12
2.850000000000000000e+01 5.499944683712287841e-12 5.664924258852455097e-12
2.879599999999999937e+01 5.494382726567437203e-12 5.714974066900468941e-12
2.906200000000000117e+01 5.307158792294819349e-12 5.661217588465161654e-12
2.932799999999999940e+01 5.266378045459818580e-12 5.803952370792009319e-12
2.960900000000000176e+01 5.752048577029045262e-12 5.718446115937636520e-12
2.989000000000000057e+01 5.569205686895006835e-12 5.763170756595270561e-12
3.015599999999999881e+01 5.538871444832338398e-12 5.902198001173086794e-12
3.043700000000000117e+01 5.355355481989620969e-12 6.322989007379042903e-12
3.070299999999999940e+01 5.093983394821588462e-12 6.054202712074685522e-12
3.096799999999999997e+01 5.746487053565063619e-12 5.642006393330456504e-12
3.125000000000000000e+01 5.346087721819214877e-12 5.955956214331870058e-12
3.151500000000000057e+01 5.095837380536538674e-12 6.011567545843865545e-12
3.178099999999999881e+01 5.483260547001211904e-12 5.522189042844738438e-12
3.204599999999999937e+01 5.494585689214126489e-12 5.635265691583679626e-12
3.232800000000000296e+01 5.370826179629251129e-12 5.839172895205635427e-12
3.259300000000000352e+01 5.221888893514048391e-12 5.661216721103423666e-12
3.285900000000000176e+01 5.542578982581369829e-12 5.935564973552631685e-12
3.312500000000000000e+01 5.377599407441202572e-12 5.796704696109378219e-12
3.340599999999999881e+01 5.310866763724719775e-12 5.631085875368313509e-12
3.368699999999999761e+01 5.366477227874977274e-12 5.590776539637909437e-12
3.395300000000000296e+01 5.651105885323692846e-12 6.261817453445672754e-12
3.423400000000000176e+01 5.205205190483841449e-12 5.755756114778076693e-12
3.450000000000000000e+01 5.194284238840829460e-12 5.768731846378383210e-12
3.476500000000000057e+01 5.409112827786666244e-12 5.620435540587553902e-12
3.504599999999999937e+01 5.369006454702951459e-12 5.872539433904311323e-12
3.532800000000000296e+01 5.318281839222782637e-12 5.868832763517017881e-12
3.559300000000000352e+01 5.279353777060125097e-12 5.637119243617760844e-12
3.585900000000000176e+01 5.611166913055409822e-12 5.746486619884194624e-12
3.612500000000000000e+01 5.385014916620134429e-12 5.579655227433422127e-12
3.640599999999999881e+01 5.238572162863386339e-12 5.731657336249806889e-12
3.667099999999999937e+01 5.144032769188733312e-12 5.963371723510801914e-12
