1552917259
= Start time (s)
'Reltime', '44.00[A]', '28.00[A]', '4.00[A]'
0.000000000000000000e+00 9.828008632611906492e-13 2.669942825855864399e-12 1.011916245241550882e-13
1.406000000000000139e+00 1.042113552569834400e-12 2.926562854901892941e-12 8.319350254266250078e-14
2.827999999999999847e+00 1.093821214159795829e-12 2.755482690977584248e-12 8.131901185412515609e-14
4.233999999999999986e+00 1.095641155926529997e-12 2.961143266352883607e-12 9.005290409853580758e-14
5.639999999999999680e+00 1.057421077782505492e-12 2.673583359910636226e-12 8.286751005445042173e-14
7.046999999999999709e+00 1.019200891218263738e-12 2.965928934742234624e-12 7.840759020782267497e-14
8.452999999999999403e+00 1.106561023367369501e-12 2.846483031920810092e-12 7.922522094741188403e-14
9.875000000000000000e+00 9.354809678632780567e-13 2.787972977480457359e-12 9.105642807686123441e-14
1.128100000000000058e+01 1.001001039870053066e-12 2.845438077866968563e-12 8.574709003819971920e-14
1.268699999999999939e+01 1.021021158245649652e-12 2.921103246442124934e-12 7.607116840743430308e-14
1.409399999999999942e+01 9.937210559626818984e-13 2.839876988083855913e-12 8.279316766673580630e-14
1.551500000000000057e+01 1.110201232161489582e-12 2.573482442772001555e-12 8.897370958483447057e-14
1.692200000000000060e+01 1.042861218387980404e-12 2.629903239625974720e-12 8.397010978255028957e-14
1.832799999999999940e+01 1.035581017640174739e-12 2.699062761485349071e-12 8.379350002491597893e-14
1.973400000000000176e+01 1.075621037550933412e-12 2.654506389004884781e-12 7.232478233931000089e-14
2.114000000000000057e+01 1.040325920027840301e-12 2.773143910686504121e-12 7.960879134724652140e-14
2.256200000000000117e+01 1.059241127969456908e-12 2.890162935365037100e-12 7.274924071357449784e-14
2.396900000000000119e+01 1.082901346718956326e-12 2.740922940003276409e-12 8.844032954981664862e-14
2.537500000000000000e+01 1.077441196158102077e-12 2.830103122339333588e-12 7.573703085040142668e-14
2.678099999999999881e+01 1.041041276621246237e-12 2.790062451907271424e-12 7.410878958028985219e-14
2.820299999999999940e+01 1.022841100012383819e-12 2.893802818898505436e-12 8.857682382706899560e-14
2.960900000000000176e+01 1.071981154017465077e-12 2.833743005872801923e-12 8.058864583689387406e-14
3.101500000000000057e+01 9.300210341428583050e-13 2.689962835811243735e-12 8.409402053833822666e-14
3.242199999999999704e+01 1.068340945223344995e-12 2.739102781396107744e-12 8.272209821432938148e-14
3.382800000000000296e+01 9.718812126607856428e-13 2.655382424360253069e-12 8.022868393936510856e-14
3.525000000000000000e+01 1.093821322580013078e-12 2.741630924021909443e-12 7.720586729610331989e-14
3.665599999999999881e+01 1.015561007684795403e-12 2.773682108644925925e-12 7.270884063012225673e-14
3.806199999999999761e+01 1.075621145971150661e-12 2.626700506408452540e-12 9.791975308934622313e-14
3.946900000000000119e+01 1.037401393087777901e-12 2.618982504823397228e-12 9.311666292633608011e-14
4.089000000000000057e+01 9.773410379609881460e-13 2.788243160661840747e-12 8.856439615966688050e-14
4.229699999999999704e+01 1.006460973590472818e-12 2.832462563107096543e-12 7.948614097648409871e-14
4.371900000000000119e+01 1.010101073964375651e-12 2.851943074061447092e-12 8.419310984063982373e-14
4.512500000000000000e+01 1.104741081600635333e-12 3.004822952956676119e-12 8.691856370930672870e-14
4.653099999999999881e+01 9.555008693984401447e-13 2.969636038810397061e-12 7.540956791299291417e-14
4.793699999999999761e+01 1.028301142153020820e-12 2.739776938306959231e-12 8.263816741365184737e-14
4.935900000000000176e+01 1.013740849077626738e-12 2.947391896518380960e-12 7.986975203390020428e-14
5.076500000000000057e+01 9.670384068169446401e-13 2.742742881770010577e-12 8.099575697639860294e-14
5.218699999999999761e+01 1.027813468015836840e-12 2.686322952277775400e-12 7.815984323514615917e-14
5.359400000000000119e+01 1.022840991592166571e-12 2.921103680122993929e-12 7.968361484967517727e-14
5.500000000000000000e+01 1.001001039870053066e-12 2.868323417323792590e-12 8.453999354946298284e-14
5.640599999999999881e+01 1.079261246345053493e-12 2.806443012010051419e-12 7.797397032520067550e-14
5.781199999999999761e+01 1.106463445171845805e-12 2.797342869495511586e-12 8.323918811170560872e-14
