Start time (s) =
1552988426
'Reltime', '44.00[A]', '28.00[A]', '4.00[A]'
0.000000000000000000e+00 1.870961935726556113e-12 3.618433894528316763e-12 1.344521960129976823e-13
1.421999999999999931e+00 1.996541820759034636e-12 3.559923840087964031e-12 1.153321822809985631e-13
2.827999999999999847e+00 1.749021717387111430e-12 3.775998611010855655e-12 1.220428109700161245e-13
4.235000000000000320e+00 1.801801871766095520e-12 3.549846614575580261e-12 1.137072342749859133e-13
5.641000000000000014e+00 1.843661941863805609e-12 3.694435816298247133e-12 1.231629679970466795e-13
7.062999999999999723e+00 1.716261898224158422e-12 3.678223524372636888e-12 1.141662312647076516e-13
8.468999999999999417e+00 2.087541728021391485e-12 3.720084136571433220e-12 1.222908086644450276e-13
9.875000000000000000e+00 1.688961579100756172e-12 3.468283819862971740e-12 1.135999321412277385e-13
1.128200000000000003e+01 1.659841643471271500e-12 3.751900699844323839e-12 1.233287967193283374e-13
1.270299999999999940e+01 1.860042285126151107e-12 3.558103898321229863e-12 1.150282804120508762e-13
1.412500000000000000e+01 1.916461997777951787e-12 3.512772104447003940e-12 1.150221004596677088e-13
1.553200000000000003e+01 1.847301825397273944e-12 3.720386845817991173e-12 1.206659961837039385e-13
1.693799999999999883e+01 1.767221677155539350e-12 3.553553501803308201e-12 1.173044409004397881e-13
1.835999999999999943e+01 1.923741981685322955e-12 3.616579908813366551e-12 1.258807646878704056e-13
1.976599999999999824e+01 1.759941801668385430e-12 3.733363444780035678e-12 1.218939093541523966e-13
2.117200000000000060e+01 1.688962012781625166e-12 3.603603960372625536e-12 1.181329610955988985e-13
2.260999999999999943e+01 1.823641715067991775e-12 3.459015192330827659e-12 1.135956156613285306e-13
2.401599999999999824e+01 1.670188943744821408e-12 3.418233144453219907e-12 1.093038284665989734e-13
2.542200000000000060e+01 1.792701946091990184e-12 3.414323511419237178e-12 1.126653227634909216e-13
2.682799999999999940e+01 1.730821649198466261e-12 3.605457295566272258e-12 1.111520340287171227e-13
2.825000000000000000e+01 1.692601787894876253e-12 3.710984210897327884e-12 1.117846321150445243e-13
2.965700000000000003e+01 1.818181998188006521e-12 3.642531588854414082e-12 1.232086400135626314e-13
3.107799999999999940e+01 1.883701961774564282e-12 3.616579691972932054e-12 1.088060848017380344e-13
3.248499999999999943e+01 1.652561767984117580e-12 3.579505398684790229e-12 1.165601632140828015e-13
3.389099999999999824e+01 1.743561892086908927e-12 3.386719940948190732e-12 1.250817076867485889e-13
3.529699999999999704e+01 1.752661709340797014e-12 3.576303966509875032e-12 1.219062421538644192e-13
3.670300000000000296e+01 1.754481542687313933e-12 3.507211014663891291e-12 1.148921317242410089e-13
3.812500000000000000e+01 1.698061721615296005e-12 3.410818719476460537e-12 1.110280080764483590e-13
3.954699999999999704e+01 1.750842092834714592e-12 3.598042436908643893e-12 1.091041658602721898e-13
4.095300000000000296e+01 1.710801856083521422e-12 3.583583733576811703e-12 1.103088228941208337e-13
4.237500000000000000e+01 1.807363069969425418e-12 3.532624063065648023e-12 1.139010218607905411e-13
4.378199999999999648e+01 1.625261774121367075e-12 3.479843149745143194e-12 1.196240507908910566e-13
4.518800000000000239e+01 1.807261263385429029e-12 3.586920040501984097e-12 1.181951671952452543e-13
4.659400000000000119e+01 1.729001815851949342e-12 3.290327212079890984e-12 1.077408968248524945e-13
4.801599999999999824e+01 1.929201590145090961e-12 3.790827894645243390e-12 1.166222608935119087e-13
4.942199999999999704e+01 1.789061954138304600e-12 3.716679308068959742e-12 1.133847857726251462e-13
5.082800000000000296e+01 1.647101725843480580e-12 3.561743998695132696e-12 1.040073856575264577e-13
5.223499999999999943e+01 1.812722064467586769e-12 3.510783460822231028e-12 1.060095004942925023e-13
5.364099999999999824e+01 1.729001382171080348e-12 3.614725706257981841e-12 1.158158448701443466e-13
5.506300000000000239e+01 1.759942018508819928e-12 3.527601821762260670e-12 1.110900176644509518e-13
5.646900000000000119e+01 1.901901596282340456e-12 3.427501771985363987e-12 1.081378300164630157e-13
5.789099999999999824e+01 1.778141869857030599e-12 3.421940465361816841e-12 1.146251062816849853e-13
5.929699999999999704e+01 1.708981805896570005e-12 3.625848319505076134e-12 1.239901058344358709e-13
6.070300000000000296e+01 1.663481527004739835e-12 3.529455590636776385e-12 1.204802181414485474e-13
6.210999999999999943e+01 1.783601911997667600e-12 3.614523827813465040e-12 1.098992113133558102e-13
