Start time (s) =
1553508139
'Reltime', 'DEFAU[mV]', '2.00[A]', '28.00[A]', '18.00[A]'
0.000000000000000000e+00 2.192187500000000000e+03 1.011747803592033534e-11 2.436546797657257457e-11 2.136210479342093294e-11
8.900000000000000133e-01 2.192656250000000000e+03 1.033364626507049522e-11 2.411061454654639391e-11 2.103821804266825524e-11
1.765000000000000124e+00 2.192343750000000000e+03 1.019178751809901584e-11 2.405244406422646364e-11 2.120648795456148150e-11
2.640000000000000124e+00 2.192187500000000000e+03 1.055165677055214246e-11 2.410017324594448951e-11 2.108366085884494368e-11
3.531000000000000139e+00 2.190937500000000000e+03 1.054797481997438169e-11 2.432123426265864197e-11 2.111865196607887185e-11
4.405999999999999694e+00 2.190000000000000000e+03 1.027285114613141204e-11 2.387386989488593514e-11 2.175632070333666235e-11
5.280999999999999694e+00 2.192343750000000000e+03 1.038953211657256404e-11 2.344491267791681821e-11 2.118560188391072074e-11
6.171999999999999709e+00 2.190000000000000000e+03 1.032259347444330899e-11 2.432433074406326057e-11 2.126789543088758450e-11
7.046999999999999709e+00 2.190781250000000000e+03 1.040979802358066308e-11 2.387325927222239130e-11 2.126694827186970116e-11
7.937000000000000277e+00 2.189843750000000000e+03 9.920962489029516718e-12 2.365249489322263088e-11 2.115510891465000043e-11
8.811999999999999389e+00 2.190000000000000000e+03 1.047550501204197460e-11 2.323857425934328091e-11 2.059714204749596433e-11
9.686999999999999389e+00 2.191562500000000000e+03 1.012055196591976625e-11 2.338903203058517732e-11 2.116128279550100189e-11
1.057799999999999940e+01 2.192187500000000000e+03 1.003027435414471924e-11 2.431937637381587081e-11 2.078213295897413104e-11
1.146799999999999997e+01 2.190781250000000000e+03 9.733050303217805066e-12 2.367923565560481336e-11 2.101856536040891399e-11
1.234299999999999997e+01 2.191875000000000000e+03 1.010396887685116596e-11 2.337214276282306713e-11 2.100014606654099225e-11
1.321799999999999997e+01 2.192343750000000000e+03 1.035452452946561408e-11 2.379188686341127124e-11 2.090794724851630093e-11
1.410899999999999999e+01 2.192343750000000000e+03 1.020038480764595690e-11 2.336201197772336258e-11 2.097557717795073273e-11
1.500000000000000000e+01 2.191718750000000000e+03 1.026363716238876123e-11 2.335978112333325640e-11 2.083071215519538555e-11
1.587500000000000000e+01 2.190468750000000000e+03 1.023845851849669586e-11 2.343508546942540960e-11 2.081463300329655652e-11
1.676500000000000057e+01 2.190312500000000000e+03 1.023846112058190982e-11 2.378242741629676971e-11 2.129676296425131454e-11
1.764000000000000057e+01 2.191250000000000000e+03 1.023047618842198858e-11 2.332025718365660083e-11 2.094872886271303969e-11
1.851500000000000057e+01 2.190937500000000000e+03 1.029373201261174486e-11 2.314338824749295753e-11 2.094069362357231512e-11
1.940599999999999881e+01 2.191875000000000000e+03 9.900083357272659867e-12 2.334297338757451712e-11 2.123605284676255422e-11
2.029700000000000060e+01 2.190625000000000000e+03 1.019424822334968894e-11 2.359537565332914255e-11 2.106983164329445657e-11
2.118700000000000117e+01 2.190937500000000000e+03 9.799983741176632179e-12 2.300571538826901019e-11 2.060640373613420451e-11
2.206200000000000117e+01 2.190937500000000000e+03 1.041716886363008854e-11 2.274249365219471741e-11 2.100804599725059063e-11
2.295299999999999940e+01 2.190000000000000000e+03 1.007756291609984700e-11 2.349343809771031744e-11 2.128078963048452010e-11
2.382799999999999940e+01 2.191562500000000000e+03 9.897014631443656896e-12 2.277215742363392081e-11 2.104681533221519629e-11
2.470299999999999940e+01 2.190312500000000000e+03 1.008493028670232050e-11 2.280869937365537226e-11 2.145397054453823671e-11
2.559299999999999997e+01 2.190312500000000000e+03 1.012546383544199458e-11 2.360755688157745169e-11 2.117365310860819250e-11
2.646799999999999997e+01 2.191562500000000000e+03 9.917893763200513746e-12 2.289405991173776300e-11 2.092462834946129391e-11
2.735900000000000176e+01 2.192343750000000000e+03 1.017765906274892274e-11 2.279826501194737176e-11 2.077660266053271698e-11
2.823400000000000176e+01 2.192343750000000000e+03 9.842359566247793623e-12 2.289836029123470951e-11 2.083678368736130437e-11
2.912500000000000000e+01 2.190000000000000000e+03 1.002167966668299215e-11 2.290388538550569564e-11 2.097988102689463119e-11
3.001500000000000057e+01 2.189843750000000000e+03 9.834374634087872380e-12 2.311694238810169111e-11 2.089574693830975605e-11
3.089000000000000057e+01 2.190781250000000000e+03 9.965177988346951565e-12 2.291118336716913007e-11 2.127621516467836926e-11
3.176500000000000057e+01 2.189843750000000000e+03 9.876748724435557847e-12 2.313233979367446125e-11 2.102838736472989467e-11
3.264000000000000057e+01 2.189531250000000000e+03 9.826390569289689125e-12 2.313970369482998279e-11 2.092833371880598037e-11
3.353099999999999881e+01 2.189687500000000000e+03 9.897631325639366651e-12 2.273991758783289185e-11 2.097591544902854821e-11
3.442199999999999704e+01 2.190312500000000000e+03 9.878588398681831251e-12 2.241809862746357851e-11 2.109393389126967833e-11
3.529699999999999704e+01 2.189843750000000000e+03 9.861394686949687127e-12 2.259420255057431604e-11 2.061631941552288794e-11
3.617199999999999704e+01 2.190312500000000000e+03 9.735502334851098283e-12 2.237299061291775359e-11 2.079301834878588551e-11
3.706199999999999761e+01 2.190000000000000000e+03 9.690672743423167645e-12 2.232974222193817582e-11 2.099338584915511063e-11
3.793699999999999761e+01 2.190781250000000000e+03 1.005975251017199312e-11 2.226918649483877743e-11 2.097004514478584269e-11
3.881199999999999761e+01 2.192031250000000000e+03 1.002290264673355580e-11 2.238864302284149232e-11 2.073915171540985369e-11
3.970300000000000296e+01 2.190000000000000000e+03 9.933246933324646477e-12 2.240523044871878255e-11 2.054152854757962388e-11
4.057800000000000296e+01 2.192343750000000000e+03 9.944915550785804470e-12 2.236001835076439903e-11 2.080484742816857135e-11
4.145300000000000296e+01 2.189843750000000000e+03 9.932018749103654898e-12 2.219874284392631125e-11 2.114830879862417135e-11
4.234300000000000352e+01 2.190000000000000000e+03 9.888413005088025898e-12 2.217616541788647311e-11 2.092710033041456086e-11
4.321800000000000352e+01 2.190781250000000000e+03 9.750857239698706991e-12 2.251576702860802470e-11 2.089635062207939598e-11
4.410900000000000176e+01 2.190312500000000000e+03 9.869377017024394405e-12 2.260911943774424060e-11 2.084986176764669352e-11
4.498400000000000176e+01 2.190000000000000000e+03 9.742259082790027946e-12 2.276018609692620487e-11 2.100310723951448466e-11
