Start time (s) =
1547808732
'Reltime', '44.00[A]'
0.000000000000000000e+00 2.205062174520655560e-11
1.250000000000000000e-01 2.176819835497667555e-11
2.500000000000000000e-01 2.152152241141624955e-11
3.910000000000000142e-01 2.236164552138486528e-11
5.160000000000000142e-01 2.174674849919622233e-11
6.570000000000000284e-01 2.116759545423008149e-11
7.820000000000000284e-01 2.121049863523793988e-11
9.070000000000000284e-01 2.254040010196689536e-11
1.046999999999999931e+00 2.188259642932344207e-11
1.171999999999999931e+00 2.094951989661808511e-11
1.296999999999999931e+00 2.195409479210930215e-11
1.437999999999999945e+00 2.121049690051446390e-11
1.562999999999999945e+00 2.185757304318247662e-11
1.687999999999999945e+00 2.232232454435489899e-11
1.828999999999999959e+00 2.208279739623897342e-11
1.953999999999999959e+00 2.237237305136030585e-11
2.079000000000000181e+00 2.205062347993003158e-11
2.218999999999999861e+00 2.027742210253258293e-11
2.343999999999999861e+00 2.009509746103699257e-11
2.468999999999999861e+00 2.180036880183866543e-11
2.609999999999999876e+00 2.083154655718733039e-11
2.750000000000000000e+00 2.199699623839368456e-11
2.875000000000000000e+00 2.239739817222474727e-11
3.000000000000000000e+00 2.101029593359893255e-11
3.141000000000000014e+00 2.124267428627035770e-11
3.266000000000000014e+00 2.104604511499186259e-11
3.407000000000000028e+00 2.188259642932344207e-11
3.532000000000000028e+00 2.157514965295259657e-11
3.657000000000000028e+00 2.196839932189220690e-11
3.797000000000000153e+00 2.116402365859304524e-11
3.922000000000000153e+00 2.080652143632288897e-11
4.046999999999999709e+00 2.235939905448347531e-11
4.187999999999999723e+00 2.109252182636023321e-11
4.328999999999999737e+00 2.251895024618644214e-11
4.453999999999999737e+00 2.208994445695999786e-11
4.578999999999999737e+00 2.053124510681403336e-11
4.719000000000000306e+00 2.022379486099623591e-11
4.844000000000000306e+00 2.069569689233663468e-11
4.969000000000000306e+00 2.002359562880418054e-11
5.110000000000000320e+00 2.162162289487401523e-11
5.250000000000000000e+00 1.971972064807037128e-11
5.375000000000000000e+00 2.169312125765987531e-11
5.500000000000000000e+00 2.156800085750809615e-11
5.625000000000000000e+00 2.155369806244866737e-11
5.766000000000000014e+00 2.216144802391628588e-11
5.891000000000000014e+00 2.147862269985534311e-11
6.016000000000000014e+00 2.141069786742999526e-11
6.157000000000000028e+00 2.262262252528124407e-11
6.282000000000000028e+00 2.223652165178613416e-11
6.407000000000000028e+00 2.180394580164612961e-11
6.546999999999999709e+00 2.177177362006066375e-11
6.687999999999999723e+00 2.222579759125764554e-11
6.812999999999999723e+00 2.182897092251057103e-11
6.937999999999999723e+00 2.282997402236475182e-11
7.078999999999999737e+00 2.124624608190739394e-11
7.203999999999999737e+00 2.181824686198208241e-11
7.328999999999999737e+00 2.210424898674290262e-11
7.469000000000000306e+00 2.176820008970015152e-11
7.594000000000000306e+00 2.202917188942610238e-11
7.719000000000000306e+00 2.239024764205677087e-11
7.860000000000000320e+00 2.318747104046448015e-11
7.985000000000000320e+00 2.255827295793988441e-11
8.109999999999999432e+00 2.217217381916825047e-11
8.250000000000000000e+00 2.187902289896292984e-11
8.375000000000000000e+00 2.202559835906559016e-11
8.500000000000000000e+00 2.316245112377046667e-11
8.625000000000000000e+00 2.160375003890102619e-11
8.766000000000000014e+00 2.181467159689809421e-11
8.907000000000000028e+00 2.201844609417413778e-11
9.032000000000000028e+00 2.151794714633226135e-11
9.157000000000000028e+00 2.103532278918684995e-11
9.297000000000000597e+00 2.155012453208815515e-11
9.438000000000000611e+00 2.099957013834696795e-11
9.563000000000000611e+00 2.233305207433033956e-11
9.688000000000000611e+00 2.189226404325506081e-11
9.829000000000000625e+00 2.300157460333185355e-11
9.954000000000000625e+00 2.191477208035585988e-11
1.007900000000000063e+01 2.055627196240195076e-11
1.021899999999999942e+01 2.158587197875760921e-11
1.035999999999999943e+01 2.232232454435489899e-11
1.048499999999999943e+01 2.214357169849634488e-11
1.060999999999999943e+01 2.197554811733670732e-11
1.073499999999999943e+01 2.190762328491135946e-11
1.087500000000000000e+01 2.235807372574782903e-11
1.100000000000000000e+01 2.077077398965343491e-11
1.112500000000000000e+01 2.142857419284993625e-11
1.126600000000000001e+01 2.193264840577580088e-11
1.139100000000000001e+01 2.193979893594377728e-11
1.151600000000000001e+01 2.167723292534340374e-11
1.165700000000000003e+01 2.226869730281855198e-11
1.179700000000000060e+01 2.069569515761315870e-11
1.192200000000000060e+01 2.220077073566972814e-11
1.204700000000000060e+01 2.262619779036523227e-11
1.218800000000000061e+01 2.313027200329109689e-11
1.231300000000000061e+01 2.190762155018788349e-11
1.243800000000000061e+01 2.213642290305184446e-11
1.257900000000000063e+01 2.103174925882633772e-11
1.271899999999999942e+01 2.118189824928951026e-11
1.284399999999999942e+01 2.156799565333766822e-11
1.296899999999999942e+01 2.149292202546781994e-11
1.309399999999999942e+01 2.206849980534997258e-11
1.323499999999999943e+01 2.152509767650023775e-11
1.335999999999999943e+01 2.154297053247322680e-11
1.348499999999999943e+01 2.125697187715935854e-11
1.362500000000000000e+01 2.147862443457881909e-11
1.375000000000000000e+01 2.070999621794911150e-11
1.387500000000000000e+01 2.279065131061130955e-11
1.401600000000000001e+01 2.152152067669277358e-11
1.414100000000000001e+01 2.157514965295259657e-11
1.426600000000000001e+01 2.241169749783722409e-11
1.440700000000000003e+01 2.237594831644429405e-11
1.453200000000000003e+01 2.158587371348108519e-11
1.465700000000000003e+01 2.055626849295499881e-11
1.479700000000000060e+01 2.100672413796189630e-11
1.493800000000000061e+01 2.114614733317310424e-11
1.506300000000000061e+01 2.123552202137890532e-11
1.518800000000000061e+01 2.290147411987408788e-11
1.532900000000000063e+01 2.038824838124231320e-11
1.545400000000000063e+01 2.032389534445400159e-11
1.559399999999999942e+01 2.252609904163094257e-11
1.571899999999999942e+01 2.130702211888824138e-11
1.584399999999999942e+01 2.140354733726201886e-11
1.598499999999999943e+01 2.126411893788038299e-11
1.610999999999999943e+01 2.131059738397222958e-11
1.623499999999999943e+01 2.136422289078510062e-11
1.637500000000000000e+01 2.145717110935141392e-11
1.650000000000000000e+01 2.055627022767847478e-11
1.662500000000000000e+01 2.189332222457540666e-11
1.676599999999999824e+01 2.161447236470603883e-11
1.689099999999999824e+01 2.175747082500123497e-11
1.701599999999999824e+01 2.140354733726201886e-11
1.715700000000000003e+01 2.090662365450413063e-11
1.729700000000000060e+01 2.077077225492995893e-11
1.742200000000000060e+01 2.075647292931748211e-11
1.754700000000000060e+01 2.188616995968395429e-11
1.768799999999999883e+01 2.089232259416817783e-11
1.781299999999999883e+01 2.170027178782785171e-11
1.793799999999999883e+01 2.006649534036508697e-11
1.807900000000000063e+01 2.085656994332829584e-11
1.820400000000000063e+01 2.142142366268195985e-11
1.832900000000000063e+01 2.142499719304247208e-11
1.846900000000000119e+01 2.175032202955673455e-11
1.859400000000000119e+01 2.092807351028458385e-11
1.873499999999999943e+01 2.216144975863976185e-11
1.885999999999999943e+01 2.082082076193536579e-11
1.900000000000000000e+01 2.100314713815443213e-11
1.912500000000000000e+01 2.239382290714075907e-11
1.926599999999999824e+01 1.992349167589946290e-11
1.939099999999999824e+01 1.979479601066369554e-11
1.951599999999999824e+01 2.028814789778454752e-11
1.965700000000000003e+01 2.068854809689213425e-11
1.978200000000000003e+01 2.118904877945748666e-11
1.990700000000000003e+01 2.217574734952876270e-11
2.004700000000000060e+01 2.198626870841824399e-11
2.017200000000000060e+01 2.122122096104295252e-11
2.029700000000000060e+01 2.182182039234259463e-11
2.043799999999999883e+01 2.172887217377628133e-11
2.056299999999999883e+01 2.229372415840646937e-11
2.068799999999999883e+01 2.171099758307981631e-11
2.081299999999999883e+01 2.175032202955673455e-11
2.095400000000000063e+01 2.230802348401894619e-11
2.109400000000000119e+01 2.163234695540250385e-11
2.121900000000000119e+01 2.206134754045852020e-11
2.135999999999999943e+01 2.042756935827227949e-11
2.148499999999999943e+01 2.226512203773456378e-11
2.162500000000000000e+01 2.305877017105828486e-11
2.175000000000000000e+01 2.192549787560782448e-11
2.187500000000000000e+01 2.161804936451350301e-11
2.201599999999999824e+01 2.206849980534997258e-11
2.214099999999999824e+01 2.200772376836912514e-11
2.226599999999999824e+01 2.163592568993344400e-11
2.240700000000000003e+01 2.251179798129498977e-11
2.253200000000000003e+01 2.171814464380084075e-11
2.265700000000000003e+01 2.268697382734607970e-11
2.279700000000000060e+01 2.316959818449149111e-11
2.292200000000000060e+01 2.375947528998612057e-11
2.304700000000000060e+01 2.119619757490198708e-11
2.317200000000000060e+01 2.249034812551453655e-11
2.331299999999999883e+01 2.166809787151890987e-11
2.343799999999999883e+01 2.145717110935141392e-11
2.357900000000000063e+01 2.045616974422070911e-11
2.370400000000000063e+01 2.112112221230866282e-11
2.384400000000000119e+01 2.222222406089713331e-11
2.398499999999999943e+01 2.010581978684200521e-11
2.410999999999999943e+01 2.062777032518781084e-11
2.423499999999999943e+01 2.000214403830025134e-11
2.437500000000000000e+01 2.180394753636960559e-11
2.451599999999999824e+01 2.094237110117358469e-11
2.464099999999999824e+01 2.266910097137309066e-11
2.476599999999999824e+01 2.323752648636379092e-11
2.490700000000000003e+01 2.261547199511326767e-11
2.503200000000000003e+01 2.183254792231803521e-11
2.515700000000000003e+01 2.239024937678024685e-11
2.529700000000000060e+01 2.224367218195411056e-11
2.542200000000000060e+01 2.194337073158081353e-11
2.554700000000000060e+01 2.106392490985875554e-11
2.567200000000000060e+01 2.167882366677087447e-11
2.581299999999999883e+01 2.043114635807974366e-11
2.593799999999999883e+01 2.141785013232144763e-11
2.606299999999999883e+01 2.163592395520996803e-11
2.620400000000000063e+01 2.135349883025661200e-11
2.632900000000000063e+01 2.223652512123308611e-11
2.645400000000000063e+01 2.179322000639416501e-11
2.659400000000000119e+01 2.124981961226790617e-11
2.671900000000000119e+01 2.106034444060433941e-11
2.684400000000000119e+01 2.142857419284993625e-11
2.698499999999999943e+01 2.274059933415895074e-11
2.710999999999999943e+01 2.151437361597174913e-11
2.725000000000000000e+01 2.201129556400616138e-11
2.737500000000000000e+01 2.011654905154092177e-11
2.751599999999999824e+01 2.148577496474679549e-11
2.765700000000000003e+01 2.169669652274386351e-11
