Start time (s) =
1547806285
'Reltime', 'DEFAU[mV]', '44.00[A]', '28.00[A]'
0.000000000000000000e+00 2.101718750000000000e+03 2.460865712594628718e-11 4.527595659498118152e-11
6.560000000000000275e-01 2.100000000000000000e+03 2.503607564319221268e-11 4.521207019880790767e-11
1.296999999999999931e+00 2.100000000000000000e+03 2.434274830320770633e-11 4.562906649741016452e-11
1.952999999999999847e+00 2.100000000000000000e+03 2.461602623127223666e-11 4.555415419882358208e-11
2.593999999999999861e+00 2.101093750000000000e+03 2.388523753782401116e-11 4.530480851583362778e-11
3.250000000000000000e+00 2.101093750000000000e+03 2.420703915095856473e-11 4.550685869797455041e-11
3.890000000000000124e+00 2.100312500000000000e+03 2.442747566722136554e-11 4.601839395657059129e-11
4.562000000000000277e+00 2.099843750000000000e+03 2.448707035751507277e-11 4.535087583246166787e-11
5.203000000000000291e+00 2.100000000000000000e+03 2.481566514778155152e-11 4.544421783325702791e-11
5.875000000000000000e+00 2.100000000000000000e+03 2.465164704312794441e-11 4.551484536485794763e-11
6.514999999999999680e+00 2.100000000000000000e+03 2.387663504410664217e-11 4.534596656502465351e-11
7.171999999999999709e+00 2.099843750000000000e+03 2.471674601101092605e-11 4.483993731874136301e-11
7.828000000000000291e+00 2.099843750000000000e+03 2.434889095903614020e-11 4.558239549701248450e-11
8.483999999999999986e+00 2.100000000000000000e+03 2.465348931945943178e-11 4.527841990231706859e-11
9.140000000000000568e+00 2.100312500000000000e+03 2.478061159050248818e-11 4.501801709189123812e-11
9.797000000000000597e+00 2.100000000000000000e+03 2.479964844592785767e-11 4.537358336276220427e-11
1.045299999999999940e+01 2.100000000000000000e+03 2.505204897695900712e-11 4.493942717953558486e-11
1.109399999999999942e+01 2.100000000000000000e+03 2.433415101366076527e-11 4.501250414068458383e-11
1.175000000000000000e+01 2.099531250000000000e+03 2.404674723233135580e-11 4.501986977656358135e-11
1.239000000000000057e+01 2.100000000000000000e+03 2.449136032867116342e-11 4.495109492963500486e-11
1.304700000000000060e+01 2.099843750000000000e+03 2.450743601112304049e-11 4.521026261694593984e-11
1.370299999999999940e+01 2.099375000000000000e+03 2.412596684930878865e-11 4.582988155643619166e-11
1.435899999999999999e+01 2.100000000000000000e+03 2.450548791665951853e-11 4.527840602452926078e-11
1.500000000000000000e+01 2.099843750000000000e+03 2.434275003793118231e-11 4.505242359731376212e-11
1.565600000000000058e+01 2.100000000000000000e+03 2.478552432738645450e-11 4.541843637295706060e-11
1.631200000000000117e+01 2.100000000000000000e+03 2.447785550641068397e-11 4.522375529614208745e-11
1.695299999999999940e+01 2.099843750000000000e+03 2.424264608502646468e-11 4.551976157118886590e-11
1.760900000000000176e+01 2.099687500000000000e+03 2.458471100308390334e-11 4.528577859930216221e-11
1.825000000000000000e+01 2.100156250000000000e+03 2.407622538835862969e-11 4.549765425521101747e-11
1.890599999999999881e+01 2.099843750000000000e+03 2.421746830849613730e-11 4.528331182251932319e-11
1.956200000000000117e+01 2.101093750000000000e+03 2.437530038923441111e-11 4.527963767819720431e-11
2.020299999999999940e+01 2.099687500000000000e+03 2.399025075816574315e-11 4.512610424223240102e-11
2.085900000000000176e+01 2.100312500000000000e+03 2.461910016127166756e-11 4.514636581243181013e-11
2.150000000000000000e+01 2.099218750000000000e+03 2.453311859218487712e-11 4.491055444200142688e-11
2.215599999999999881e+01 2.100312500000000000e+03 2.456813398554746897e-11 4.528638575251875409e-11
2.281200000000000117e+01 2.100000000000000000e+03 2.489115163983868229e-11 4.564380123861511152e-11
2.346900000000000119e+01 2.099843750000000000e+03 2.458962027052091770e-11 4.575863299383087224e-11
2.410900000000000176e+01 2.100000000000000000e+03 2.461787197705067598e-11 4.495782912616874682e-11
2.476500000000000057e+01 2.099843750000000000e+03 2.458101951152702469e-11 4.518998023006481901e-11
2.542200000000000060e+01 2.100000000000000000e+03 2.447109528902480236e-11 4.545343268436141670e-11
2.606200000000000117e+01 2.100468750000000000e+03 2.456689886243257348e-11 4.496459801717200833e-11
2.671900000000000119e+01 2.100000000000000000e+03 2.425616998924517986e-11 4.544853035581830625e-11
2.735900000000000176e+01 2.099375000000000000e+03 2.451960856575396974e-11 4.473001483096261666e-11
2.801500000000000057e+01 2.100468750000000000e+03 2.468849083503421582e-11 4.522375182669513549e-11
2.865599999999999881e+01 2.100312500000000000e+03 2.428194971482167119e-11 4.505364137319389783e-11
2.931200000000000117e+01 2.100000000000000000e+03 2.420028066829615909e-11 4.559590899289034382e-11
2.996900000000000119e+01 2.099531250000000000e+03 2.420395654734175395e-11 4.524158478402817707e-11
3.060900000000000176e+01 2.099843750000000000e+03 2.486904432386083386e-11 4.468210523800308920e-11
3.126500000000000057e+01 2.099843750000000000e+03 2.445389897520744427e-11 4.509663475982250702e-11
3.192200000000000060e+01 2.100000000000000000e+03 2.453435024585282065e-11 4.482702750663314362e-11
3.257800000000000296e+01 2.099843750000000000e+03 2.447907675173777164e-11 4.533919767402139200e-11
3.323400000000000176e+01 2.099843750000000000e+03 2.445759046676432291e-11 4.516726229142342675e-11
3.387500000000000000e+01 2.099375000000000000e+03 2.444162233716795640e-11 4.513225210223126282e-11
3.453099999999999881e+01 2.100000000000000000e+03 2.443978006083646903e-11 4.522067789669570459e-11
3.518699999999999761e+01 2.100000000000000000e+03 2.437406700084299160e-11 4.492283975365829463e-11
3.582800000000000296e+01 2.099687500000000000e+03 2.415052532955819231e-11 4.470420908453398567e-11
3.648400000000000176e+01 2.100000000000000000e+03 2.403440120535282887e-11 4.523541263790065159e-11
3.712500000000000000e+01 2.100000000000000000e+03 2.438819111938439477e-11 4.463482708438881730e-11
3.778099999999999881e+01 2.100156250000000000e+03 2.444960726932787765e-11 4.476868528668909164e-11
3.843699999999999761e+01 2.099531250000000000e+03 2.448830027645954033e-11 4.525629523910446039e-11
3.907800000000000296e+01 2.100000000000000000e+03 2.497558410086142544e-11 4.525937610799779520e-11
3.973400000000000176e+01 2.099843750000000000e+03 2.465532118745006329e-11 4.531524808171205621e-11
4.039000000000000057e+01 2.099843750000000000e+03 2.407254430514260690e-11 4.486757840260757746e-11
4.104699999999999704e+01 2.100156250000000000e+03 2.410276318809412288e-11 4.543500645159959106e-11
4.168699999999999761e+01 2.100156250000000000e+03 2.413026896352921113e-11 4.492776636833006876e-11
4.234400000000000119e+01 2.100312500000000000e+03 2.489299912034059759e-11 4.525936916910389129e-11
4.298400000000000176e+01 2.100468750000000000e+03 2.405288468398936175e-11 4.517401730463888043e-11
4.364000000000000057e+01 2.100937500000000000e+03 2.437592142023881081e-11 4.504135953098398204e-11
4.429699999999999704e+01 2.100312500000000000e+03 2.452881994741140659e-11 4.482275314798833676e-11
4.493699999999999761e+01 2.100000000000000000e+03 2.405104761182830231e-11 4.452735055671119824e-11
4.559400000000000119e+01 2.099843750000000000e+03 2.405227579604929389e-11 4.508987627716010138e-11
4.625000000000000000e+01 2.099843750000000000e+03 2.408079291527087662e-11 4.493327585008977110e-11
4.690599999999999881e+01 2.099375000000000000e+03 2.456690059715604946e-11 4.546816395611941175e-11
4.754699999999999704e+01 2.099218750000000000e+03 2.413824348734827652e-11 4.443892129279980452e-11
4.820300000000000296e+01 2.100000000000000000e+03 2.387233639933317164e-11 4.502109449133762098e-11
4.884400000000000119e+01 2.099843750000000000e+03 2.451899967781390188e-11 4.491916907878312770e-11
4.950000000000000000e+01 2.100156250000000000e+03 2.431388250456745226e-11 4.530482239362143559e-11
5.015599999999999881e+01 2.100000000000000000e+03 2.476073859836169788e-11 4.564073424750958452e-11
5.081199999999999761e+01 2.100000000000000000e+03 2.435073150064415159e-11 4.466797765001473408e-11
5.145300000000000296e+01 2.100000000000000000e+03 2.482237852763358177e-11 4.512180559745893049e-11
5.210900000000000176e+01 2.100000000000000000e+03 2.420764803889863259e-11 4.571810638398510207e-11
5.276500000000000057e+01 2.099687500000000000e+03 2.428625182904209368e-11 4.485467205994631001e-11
5.340599999999999881e+01 2.101250000000000000e+03 2.471489853050901075e-11 4.470605829975937695e-11
5.406199999999999761e+01 2.100000000000000000e+03 2.468111999498479037e-11 4.470606176920632890e-11
5.471900000000000119e+01 2.100156250000000000e+03 2.434091123104664689e-11 4.480922230487571767e-11
5.537500000000000000e+01 2.100000000000000000e+03 2.432493616255637647e-11 4.493511812642125847e-11
5.601500000000000057e+01 2.099062500000000000e+03 2.413456587357920569e-11 4.526735930543424047e-11
5.667199999999999704e+01 2.099843750000000000e+03 2.398410636761383330e-11 4.525691973955581204e-11
5.731199999999999761e+01 2.099687500000000000e+03 2.422729378226406993e-11 4.520776808458748519e-11
5.796900000000000119e+01 2.100156250000000000e+03 2.457181159931653980e-11 4.518443952328254909e-11
5.862500000000000000e+01 2.100000000000000000e+03 2.433538093260523283e-11 4.510461448781200033e-11
5.926500000000000057e+01 2.100000000000000000e+03 2.410447189071796004e-11 4.497011096837866262e-11
5.992199999999999704e+01 2.099375000000000000e+03 2.394234810410011960e-11 4.438119663441320029e-11
6.057800000000000296e+01 2.099843750000000000e+03 2.468173755654223811e-11 4.485037341517283949e-11
6.123400000000000176e+01 2.100156250000000000e+03 2.423773334814249836e-11 4.561984817685882376e-11
