Start time (s) =
1547807391
'Reltime', 'DEFAU[mV]', '44.00[A]', '28.00[A]'
0.000000000000000000e+00 2.099843750000000000e+03 2.368196437563252488e-11 4.061240232999807631e-11
6.410000000000000142e-01 2.100312500000000000e+03 2.341728547183841158e-11 4.086171331851851107e-11
1.296999999999999931e+00 2.100156250000000000e+03 2.371880469809184433e-11 4.065046216306100746e-11
1.937999999999999945e+00 2.100625000000000000e+03 2.373170757130615982e-11 4.108218626397430739e-11
2.593999999999999861e+00 2.100000000000000000e+03 2.321094184909444635e-11 4.146848489594567866e-11
3.233999999999999986e+00 2.100000000000000000e+03 2.359415093855510293e-11 4.110246171196152432e-11
3.891000000000000014e+00 2.099843750000000000e+03 2.368011689513060958e-11 4.118842419909007901e-11
4.546999999999999709e+00 2.100000000000000000e+03 2.313233979367446125e-11 4.073828427375580929e-11
5.187999999999999723e+00 2.100000000000000000e+03 2.347931224444543830e-11 4.162568206789174496e-11
5.844000000000000306e+00 2.100000000000000000e+03 2.372618941592907760e-11 4.083285098932520896e-11
6.483999999999999986e+00 2.099687500000000000e+03 2.363530031412874877e-11 4.091762345614924357e-11
7.141000000000000014e+00 2.100000000000000000e+03 2.338411755897773503e-11 4.131554473540965944e-11
7.796999999999999709e+00 2.099375000000000000e+03 2.366415396970467100e-11 4.094831765333317719e-11
8.468999999999999417e+00 2.100312500000000000e+03 2.322507117180627745e-11 4.068363354536863596e-11
9.108999999999999986e+00 2.100000000000000000e+03 2.377408513110079724e-11 4.140583362288730029e-11
9.766000000000000014e+00 2.100312500000000000e+03 2.371758865693518459e-11 4.142180695665409473e-11
1.042200000000000060e+01 2.100312500000000000e+03 2.365678486437872152e-11 4.110184761985102853e-11
1.107799999999999940e+01 2.100468750000000000e+03 2.363405998684342535e-11 4.094340144700225892e-11
1.171899999999999942e+01 2.101093750000000000e+03 2.316120038814428739e-11 4.134748446404934441e-11
1.237500000000000000e+01 2.100312500000000000e+03 2.332026759199745669e-11 4.137142711746477630e-11
1.301600000000000001e+01 2.099843750000000000e+03 2.309302922498535082e-11 4.135485356937529389e-11
1.367200000000000060e+01 2.099843750000000000e+03 2.326682596587303919e-11 4.077390161616456510e-11
1.431300000000000061e+01 2.087343750000000000e+03 2.279764745038992402e-11 4.134564912661176095e-11
1.496899999999999942e+01 2.099843750000000000e+03 2.321523702442096493e-11 4.092374009112553779e-11
1.562500000000000000e+01 2.100000000000000000e+03 2.359353337699765518e-11 4.119211222120000571e-11
1.626599999999999824e+01 2.100000000000000000e+03 2.365310204643922276e-11 4.109816653663500574e-11
1.692200000000000060e+01 2.100000000000000000e+03 2.357449478684880972e-11 4.147644727670041220e-11
1.756299999999999883e+01 2.100000000000000000e+03 2.328586108657493270e-11 4.139784348655695112e-11
1.821900000000000119e+01 2.099843750000000000e+03 2.361195093614210094e-11 4.017269156220137916e-11
1.887500000000000000e+01 2.100000000000000000e+03 2.353212416594807621e-11 4.096121011820663682e-11
1.951599999999999824e+01 2.100156250000000000e+03 2.314584808538189264e-11 4.071986151044093560e-11
2.017200000000000060e+01 2.100000000000000000e+03 2.333438650636843192e-11 4.139845410922049496e-11
2.081299999999999883e+01 2.099687500000000000e+03 2.319498586256241168e-11 4.069651907134819169e-11
2.146900000000000119e+01 2.100468750000000000e+03 2.293949925846749949e-11 4.104165965412853723e-11
2.212500000000000000e+01 2.100625000000000000e+03 2.342588449610882861e-11 4.172761094989319020e-11
2.276599999999999824e+01 2.101250000000000000e+03 2.313960308086837614e-11 4.127932370923126371e-11
2.342200000000000060e+01 2.101250000000000000e+03 2.370653326422278440e-11 4.122834018627230535e-11
2.406299999999999883e+01 2.100937500000000000e+03 2.311698055201816260e-11 4.080891180535672902e-11
2.473400000000000176e+01 2.099687500000000000e+03 2.329999214401023977e-11 4.082794866078209850e-11
2.537500000000000000e+01 2.100000000000000000e+03 2.288239736580877093e-11 4.102199829825181610e-11
2.603099999999999881e+01 2.101406250000000000e+03 2.335894845606478754e-11 4.056326455281755727e-11
2.667200000000000060e+01 2.099843750000000000e+03 2.361874064382707417e-11 4.103489770201917963e-11
2.732799999999999940e+01 2.101250000000000000e+03 2.330920005622072466e-11 4.073767018164531351e-11
