Start time (s) =
1547810078
'Reltime', 'DEFAU[mV]', '44.00[A]', '28.00[A]'
0.000000000000000000e+00 2.100000000000000000e+03 2.125315201606525761e-11 3.488457092637453627e-11
6.560000000000000275e-01 2.100000000000000000e+03 2.088735608085645623e-11 3.510873536338721124e-11
1.312000000000000055e+00 2.100312500000000000e+03 2.145150723720234964e-11 3.466964215714796183e-11
1.952999999999999847e+00 2.099687500000000000e+03 2.079871518068099334e-11 3.475315868417538923e-11
2.608999999999999986e+00 2.100000000000000000e+03 2.120534997596124072e-11 3.501475845379964369e-11
3.265000000000000124e+00 2.100312500000000000e+03 2.124578464546278411e-11 3.538630846677826014e-11
3.922000000000000153e+00 2.100312500000000000e+03 2.108205797435314111e-11 3.524259356568748558e-11
4.562000000000000277e+00 2.100000000000000000e+03 2.100382368031006308e-11 3.435829051823269253e-11
5.217999999999999972e+00 2.098437500000000000e+03 2.044130316403158787e-11 3.486062480351215243e-11
5.858999999999999986e+00 2.100781250000000000e+03 2.081897675088040245e-11 3.538140266878819773e-11
6.514999999999999680e+00 2.095937500000000000e+03 2.064703095994158133e-11 3.515295346478986005e-11
7.171999999999999709e+00 2.099843750000000000e+03 2.081038466550388932e-11 3.480105439934710887e-11
7.812000000000000277e+00 2.099531250000000000e+03 2.093627701760247817e-11 3.479430979447251104e-11
8.467999999999999972e+00 2.100000000000000000e+03 2.064027594672612764e-11 3.526287248312165445e-11
9.108999999999999986e+00 2.099843750000000000e+03 2.078090130530618751e-11 3.515540636378489125e-11
9.765000000000000568e+00 2.100000000000000000e+03 2.054509166959928024e-11 3.471324963588706680e-11
1.042200000000000060e+01 2.099843750000000000e+03 2.074466640133998396e-11 3.509767823595133507e-11
1.106199999999999939e+01 2.099843750000000000e+03 2.053894380960041843e-11 3.467700085413305544e-11
1.171799999999999997e+01 2.100000000000000000e+03 2.048736007231877210e-11 3.489502090059382056e-11
1.235899999999999999e+01 2.100000000000000000e+03 2.086442303650404284e-11 3.445654525591201889e-11
1.301500000000000057e+01 2.099375000000000000e+03 2.087514536230905549e-11 3.435951870245368411e-11
1.365600000000000058e+01 2.099375000000000000e+03 2.086074368801149603e-11 3.489317515481538123e-11
1.432799999999999940e+01 2.100312500000000000e+03 2.064026900783222374e-11 3.499450035304718654e-11
1.496799999999999997e+01 2.100156250000000000e+03 2.056141541750822199e-11 3.470280660056168642e-11
1.564000000000000057e+01 2.099843750000000000e+03 2.083924352525023949e-11 3.430116260472182432e-11
1.628099999999999881e+01 2.100312500000000000e+03 2.078335767374817067e-11 3.459902503388789796e-11
1.693700000000000117e+01 2.100000000000000000e+03 2.052604787528000685e-11 3.401314299655844309e-11
1.757799999999999940e+01 2.100000000000000000e+03 2.070844364043811225e-11 3.445469951013357957e-11
1.823400000000000176e+01 2.100156250000000000e+03 2.084416320102810971e-11 3.460332020921441654e-11
1.887500000000000000e+01 2.100000000000000000e+03 2.094655872364459270e-11 3.500371173470462338e-11
