# v1m/v0m, v1s/v0m, theta_m, theta_s
9.597989949748744198e-01 4.020100502512562873e-02 0.000000000000000000e+00 3.141592653589793116e+00
9.598394885253103137e-01 4.018116825590880431e-02 6.414678267654970456e-02 3.173008580125691314e+00
9.599607991419391029e-01 4.012167752475463700e-02 1.282880465022614436e-01 3.204424506661589067e+00
9.601624175658709515e-01 4.002259154183235995e-02 1.924182999677784833e-01 3.235840433197487265e+00
9.604434978428747494e-01 3.988400809304433470e-02 2.565321060371855699e-01 3.267256359733385018e+00
9.608028615163475283e-01 3.970606394352312746e-02 3.206241088639155690e-01 3.298672286269283216e+00
9.612390034519968651e-01 3.948893470266084949e-02 3.846890598899695979e-01 3.330088212805180969e+00
9.617500992495688905e-01 3.923283465080391885e-02 4.487218431365070925e-01 3.361504139341079167e+00
9.623340141853023999e-01 3.893801652778416250e-02 5.127174995051103634e-01 3.392920065876976921e+00
9.629883136179613334e-01 3.860477128349519560e-02 5.766712499226230859e-01 3.424335992412874674e+00
9.637102747813921511e-01 3.823342779075994402e-02 6.405785171780457032e-01 3.455751918948772872e+00
9.644968998777210256e-01 3.782435252077288174e-02 7.044349463172524528e-01 3.487167845484670625e+00
9.653449303776123758e-01 3.737794918143724082e-02 7.682364234798518821e-01 3.518583772020568823e+00
9.662508624275438773e-01 3.689465831895401282e-02 8.319790930820140096e-01 3.549999698556466576e+00
9.672109632588413719e-01 3.637495688305605879e-02 8.956593732690966148e-01 3.581415625092364774e+00
9.682212884892816840e-01 3.581935775631629737e-02 9.592739695820532431e-01 3.612831551628262527e+00
9.692777002054008273e-01 3.522840924799451601e-02 1.022819886801542344e+00 3.644247478164160725e+00
9.703758857122127823e-01 3.460269455292235702e-02 1.086294438953010255e+00 3.675663404700058479e+00
9.715113768367883429e-01 3.394283117596040567e-02 1.149695257474499632e+00 3.707079331235956676e+00
9.726795696730031748e-01 3.324947032259545354e-02 1.213020297566274719e+00 3.738495257771854430e+00
9.738757446566433940e-01 3.252329625627929655e-02 1.276267842757277782e+00 3.769911184307752627e+00
9.750950868628665003e-01 3.176502562314333089e-02 1.339436507737848059e+00 3.801327110843650381e+00
9.763327064216388296e-01 3.097540674475534467e-02 1.402525239520804545e+00 3.832743037379548134e+00
9.775836589510987773e-01 3.015521887961646400e-02 1.465533317003901770e+00 3.864158963915446332e+00
9.788429659137088956e-01 2.930527145412709783e-02 1.528460349015724473e+00 3.895574890451344086e+00
9.801056348054476564e-01 2.842640326378080562e-02 -4.691879036245243384e+00 3.926990816987242283e+00
