ASCII SAMPLE CYCLES :			ar_co2_co.mdc
DATE :	2/22/2019	TIME :	10:49:33 AM
CONVERTED CYCLES :			4762
Number of stored cycles			4762
Printed start cycle			1
Printed end cycle			4762
Number of stored datablocks			1
Datablock 0	Ion Current	[A]	
'0/0'	40.00	min:	1.47425E-009	max:	1.81181E-009	
'0/1'	44.00	min:	3.95488E-012	max:	5.35258E-012	
'0/2'	28.00	min:	6.89277E-012	max:	8.21063E-012	
Cycle	Date	Time	RelTime[s]	'0/0'	'0/1'	'0/2'	
1	2/22/2019	10:49:33:00 AM	0	1.80755E-009	4.34879E-012	7.93987E-012	
2	2/22/2019	10:49:34:43 AM	1.438	1.80773E-009	4.54621E-012	7.92993E-012	
3	2/22/2019	10:49:35:85 AM	2.859	1.81181E-009	4.31876E-012	7.88842E-012	
4	2/22/2019	10:49:37:26 AM	4.266	1.80922E-009	4.61109E-012	7.89316E-012	
5	2/22/2019	10:49:38:68 AM	5.688	1.80903E-009	4.53583E-012	7.83087E-012	
6	2/22/2019	10:49:40:10 AM	7.109	1.80718E-009	4.46836E-012	7.80592E-012	
7	2/22/2019	10:49:41:53 AM	8.531	1.80922E-009	4.52601E-012	7.87793E-012	
8	2/22/2019	10:49:42:95 AM	9.953	1.80532E-009	4.44926E-012	7.85193E-012	
9	2/22/2019	10:49:44:35 AM	11.359	1.79328E-009	4.39792E-012	7.96836E-012	
10	2/22/2019	10:49:45:78 AM	12.781	1.80126E-009	4.40292E-012	7.84322E-012	
11	2/22/2019	10:49:47:20 AM	14.203	1.79587E-009	4.33971E-012	7.87331E-012	
12	2/22/2019	10:49:48:62 AM	15.625	1.7968E-009	4.43888E-012	7.80615E-012	
13	2/22/2019	10:49:50:03 AM	17.031	1.79902E-009	4.58477E-012	7.91852E-012	
14	2/22/2019	10:49:51:43 AM	18.438	1.79847E-009	4.52805E-012	7.9314E-012	
15	2/22/2019	10:49:52:85 AM	19.859	1.79439E-009	3.95488E-012	7.93437E-012	
16	2/22/2019	10:49:54:26 AM	21.266	1.79902E-009	4.30301E-012	7.77061E-012	
17	2/22/2019	10:49:55:68 AM	22.688	1.7892E-009	4.13914E-012	7.86292E-012	
18	2/22/2019	10:49:57:10 AM	24.109	1.78957E-009	4.48152E-012	7.83422E-012	
19	2/22/2019	10:49:58:51 AM	25.516	1.78734E-009	4.45835E-012	7.79504E-012	
