ASCII SAMPLE CYCLES :			ar_o2_co2_co_disc.mdc
DATE :	2/25/2019	TIME :	10:43:51 AM
CONVERTED CYCLES :			3372
Number of stored cycles			3372
Printed start cycle			1
Printed end cycle			3372
Number of stored datablocks			1
Datablock 0	Ion Current	[A]	
'0/0'	40.00	min:	3.09977E-010	max:	3.14889E-010	
'0/1'	44.00	min:	5.34979E-012	max:	5.72313E-012	
'0/2'	28.00	min:	7.61571E-012	max:	7.76286E-012	
'0/3'	32.00	min:	4.99929E-010	max:	5.04661E-010	
Cycle	Date	Time	RelTime[s]	'0/0'	'0/1'	'0/2'	'0/3'	
1	2/25/2019	10:43:51:00 AM	0	3.14426E-010	5.47659E-012	7.75606E-012	5.04661E-010	
2	2/25/2019	10:43:53:46 AM	2.469	3.14889E-010	5.53702E-012	7.71814E-012	5.03894E-010	
3	2/25/2019	10:43:55:90 AM	4.906	3.12998E-010	5.47714E-012	7.76286E-012	5.03248E-010	
4	2/25/2019	10:43:58:36 AM	7.36	3.13573E-010	5.48104E-012	7.70558E-012	5.02044E-010	
5	2/25/2019	10:44:00:81 AM	9.813	3.11664E-010	5.62859E-012	7.68494E-012	5.02045E-010	
6	2/25/2019	10:44:03:26 AM	12.266	3.12887E-010	5.69106E-012	7.70724E-012	5.015E-010	
7	2/25/2019	10:44:05:70 AM	14.703	3.12652E-010	5.45898E-012	7.71353E-012	5.02435E-010	
8	2/25/2019	10:44:08:15 AM	17.156	3.13443E-010	5.66993E-012	7.61571E-012	5.0216E-010	
9	2/25/2019	10:44:10:61 AM	19.61	3.10978E-010	5.72313E-012	7.66689E-012	5.01202E-010	
10	2/25/2019	10:44:13:06 AM	22.063	3.12739E-010	5.34979E-012	7.65267E-012	5.01183E-010	
11	2/25/2019	10:44:15:51 AM	24.516	3.09977E-010	5.51718E-012	7.67024E-012	4.99929E-010	
12	2/25/2019	10:49:46:23 AM	355.235	2.97983E-010	5.42357E-012	7.38429E-012	4.79995E-010	
13	2/25/2019	10:49:48:70 AM	357.703	2.97019E-010	5.67438E-012	7.47195E-012	4.81113E-010	
14	2/25/2019	10:49:51:15 AM	360.156	2.96797E-010	5.48011E-012	7.40178E-012	4.811E-010	
15	2/25/2019	10:49:53:59 AM	362.594	2.98094E-010	5.57224E-012	7.40024E-012	4.80952E-010	
16	2/25/2019	10:49:56:04 AM	365.047	2.97408E-010	5.83862E-012	7.47097E-012	4.81218E-010	
17	2/25/2019	10:49:58:50 AM	367.5	2.97334E-010	5.98543E-012	7.46682E-012	4.82315E-010	
18	2/25/2019	10:50:00:95 AM	369.953	2.96834E-010	5.62081E-012	7.41802E-012	4.81636E-010	
19	2/25/2019	10:50:03:39 AM	372.391	2.96593E-010	5.55982E-012	7.44596E-012	4.82473E-010	
20	2/25/2019	10:50:05:84 AM	374.844	2.99855E-010	5.93149E-012	7.40377E-012	4.81425E-010	
21	2/25/2019	10:50:08:29 AM	377.297	2.96815E-010	5.64801E-012	7.39223E-012	4.81247E-010	
22	2/25/2019	10:50:10:76 AM	379.766	2.97001E-010	5.85567E-012	7.45489E-012	4.80916E-010	
23	2/25/2019	10:50:13:21 AM	382.219	2.95833E-010	5.75075E-012	7.43512E-012	4.81987E-010	
24	2/25/2019	10:50:15:67 AM	384.672	2.97242E-010	5.88329E-012	7.39042E-012	4.81314E-010	
25	2/25/2019	10:50:18:11 AM	387.11	2.97149E-010	5.69773E-012	7.45963E-012	4.81766E-010	
26	2/25/2019	10:55:06:53 AM	675.531	2.89882E-010	5.52831E-012	7.38154E-012	4.72428E-010	
27	2/25/2019	10:55:09:00 AM	678	2.90706E-010	5.83454E-012	7.27501E-012	4.72263E-010	
28	2/25/2019	10:55:11:43 AM	680.438	2.9114E-010	5.32699E-012	7.31755E-012	4.73269E-010	
29	2/25/2019	10:55:13:89 AM	682.891	2.91903E-010	5.79635E-012	7.31955E-012	4.73305E-010	
30	2/25/2019	10:55:16:34 AM	685.344	2.92107E-010	5.8223E-012	7.34082E-012	4.73802E-010	
31	2/25/2019	10:55:18:79 AM	687.797	2.90791E-010	5.99099E-012	7.36111E-012	4.74268E-010	
32	2/25/2019	10:55:21:23 AM	690.235	2.90494E-010	6.10388E-012	7.34261E-012	4.73779E-010	
33	2/25/2019	10:55:23:68 AM	692.688	2.91884E-010	6.01175E-012	7.36523E-012	4.74363E-010	
34	2/25/2019	10:55:26:14 AM	695.141	2.9144E-010	6.07793E-012	7.40742E-012	4.73826E-010	
35	2/25/2019	10:55:28:59 AM	697.594	2.91801E-010	5.65807E-012	7.38938E-012	4.7423E-010	
36	2/25/2019	10:55:31:04 AM	700.047	2.91159E-010	5.69811E-012	7.34449E-012	4.73106E-010	
37	2/25/2019	10:55:33:50 AM	702.5	2.92329E-010	5.4675E-012	7.38429E-012	4.7335E-010	
38	2/25/2019	10:55:35:95 AM	704.953	2.90364E-010	5.84659E-012	7.37106E-012	4.74427E-010	
39	2/25/2019	10:55:38:39 AM	707.391	2.91106E-010	5.79431E-012	7.44542E-012	4.73129E-010	
40	2/25/2019	11:00:47:79 AM	1016.8	2.85823E-010	6.17747E-012	7.31326E-012	4.64753E-010	
41	2/25/2019	11:00:50:25 AM	1019.25	2.86323E-010	6.07626E-012	7.3192E-012	4.65362E-010	
42	2/25/2019	11:00:52:70 AM	1021.7	2.87602E-010	5.82416E-012	7.29926E-012	4.65691E-010	
43	2/25/2019	11:00:55:15 AM	1024.16	2.87881E-010	6.03974E-012	7.34039E-012	4.63734E-010	
44	2/25/2019	11:00:57:61 AM	1026.61	2.85434E-010	6.07311E-012	7.28461E-012	4.63724E-010	
45	2/25/2019	11:01:00:04 AM	1029.05	2.85971E-010	5.88996E-012	7.31327E-012	4.6434E-010	
46	2/25/2019	11:01:02:50 AM	1031.5	2.84599E-010	5.59078E-012	7.30528E-012	4.64665E-010	
47	2/25/2019	11:01:04:95 AM	1033.95	2.84674E-010	5.89849E-012	7.36342E-012	4.67919E-010	
48	2/25/2019	11:01:07:40 AM	1036.41	2.85786E-010	5.73815E-012	7.35872E-012	4.67654E-010	
49	2/25/2019	11:01:09:86 AM	1038.86	2.86027E-010	5.59319E-012	7.35911E-012	4.67242E-010	
50	2/25/2019	11:01:12:31 AM	1041.31	2.87677E-010	6.01509E-012	7.3741E-012	4.6804E-010	
51	2/25/2019	11:01:14:76 AM	1043.77	2.84395E-010	5.56668E-012	7.39324E-012	4.67541E-010	
52	2/25/2019	11:01:17:21 AM	1046.22	2.8712E-010	5.96745E-012	7.379E-012	4.68374E-010	
53	2/25/2019	11:01:19:67 AM	1048.67	2.87703E-010	5.93427E-012	7.32953E-012	4.67932E-010	
54	2/25/2019	11:01:22:12 AM	1051.12	2.86657E-010	5.89441E-012	7.30198E-012	4.6833E-010	
55	2/25/2019	11:01:24:56 AM	1053.56	2.88121E-010	5.76836E-012	7.37941E-012	4.67779E-010	
56	2/25/2019	11:01:27:01 AM	1056.02	2.884E-010	6.1556E-012	7.37255E-012	4.6771E-010	
57	2/25/2019	11:01:29:46 AM	1058.47	2.85871E-010	5.69291E-012	7.31285E-012	4.67281E-010	
58	2/25/2019	11:01:31:92 AM	1060.92	2.87046E-010	5.88904E-012	7.37857E-012	4.66959E-010	
59	2/25/2019	11:01:34:36 AM	1063.36	2.85452E-010	5.96559E-012	7.30338E-012	4.68344E-010	
60	2/25/2019	11:01:36:81 AM	1065.81	2.87584E-010	5.91165E-012	7.31457E-012	4.68171E-010	
