ASCII SAMPLE CYCLES :			4_continuous.mdc
DATE :	2/22/2019	TIME :	3:55:12 PM
CONVERTED CYCLES :			1759
Number of stored cycles			1765
Printed start cycle			7
Printed end cycle			1765
Number of stored datablocks			1
Datablock 0	Ion Current	[A]	
'0/0'	40.00	min:	2.50806E-010	max:	2.59445E-010	
'0/1'	44.00	min:	6.442E-012	max:	7.32974E-012	
'0/2'	28.00	min:	7.37784E-012	max:	7.63401E-012	
'0/3'	32.00	min:	4.30172E-010	max:	4.40564E-010	
Cycle	Date	Time	RelTime[s]	'0/0'	'0/1'	'0/2'	'0/3'	
7	2/22/2019	3:55:26:71 PM	14.719	2.57387E-010	6.65406E-012	7.55041E-012	4.3703E-010	
8	2/22/2019	3:55:29:17 PM	17.172	2.55607E-010	6.6561E-012	7.57034E-012	4.36804E-010	
9	2/22/2019	3:55:31:60 PM	19.609	2.54625E-010	6.99403E-012	7.54479E-012	4.3745E-010	
10	2/22/2019	3:55:34:06 PM	22.063	2.55329E-010	6.85723E-012	7.56554E-012	4.37895E-010	
11	2/22/2019	3:55:36:51 PM	24.516	2.57795E-010	6.92192E-012	7.54565E-012	4.36743E-010	
12	2/22/2019	3:55:38:96 PM	26.969	2.56312E-010	6.72395E-012	7.51781E-012	4.37614E-010	
13	2/22/2019	3:55:41:40 PM	29.406	2.55848E-010	7.1414E-012	7.505E-012	4.37016E-010	
14	2/22/2019	3:55:43:85 PM	31.859	2.55904E-010	6.96511E-012	7.5334E-012	4.37554E-010	
15	2/22/2019	3:55:46:31 PM	34.313	2.57628E-010	6.86909E-012	7.532E-012	4.37346E-010	
16	2/22/2019	3:55:48:76 PM	36.766	2.56553E-010	6.93935E-012	7.55798E-012	4.38164E-010	
17	2/22/2019	3:55:51:21 PM	39.219	2.56405E-010	6.82238E-012	7.54782E-012	4.38499E-010	
18	2/22/2019	3:55:53:67 PM	41.672	2.56794E-010	7.13232E-012	7.56951E-012	4.39163E-010	
19	2/22/2019	3:55:56:12 PM	44.125	2.57276E-010	7.01461E-012	7.55595E-012	4.38956E-010	
20	2/22/2019	3:55:58:57 PM	46.578	2.57665E-010	6.70967E-012	7.53606E-012	4.39324E-010	
21	2/22/2019	3:56:01:01 PM	49.016	2.57684E-010	6.91766E-012	7.56517E-012	4.39042E-010	
22	2/22/2019	3:56:03:46 PM	51.469	2.56293E-010	7.07152E-012	7.50355E-012	4.38509E-010	
23	2/22/2019	3:56:05:92 PM	53.922	2.56757E-010	6.97976E-012	7.5973E-012	4.3947E-010	
24	2/22/2019	3:56:08:37 PM	56.375	2.58073E-010	6.60642E-012	7.59857E-012	4.38638E-010	
25	2/22/2019	3:56:10:82 PM	58.828	2.56442E-010	6.73507E-012	7.54913E-012	4.39788E-010	
26	2/22/2019	3:56:13:28 PM	61.281	2.58796E-010	7.07189E-012	7.61793E-012	4.40564E-010	
27	2/22/2019	3:56:15:73 PM	63.734	2.57962E-010	6.74471E-012	7.5894E-012	4.39835E-010	
28	2/22/2019	3:56:18:17 PM	66.172	2.59445E-010	7.11508E-012	7.55686E-012	4.39411E-010	
29	2/22/2019	3:56:29:00 PM	77	2.58981E-010	7.05761E-012	7.57689E-012	4.38594E-010	
30	2/22/2019	3:56:31:46 PM	79.469	2.57572E-010	7.07949E-012	7.54891E-012	4.40248E-010	
31	2/22/2019	3:56:33:92 PM	81.922	2.58091E-010	6.83517E-012	7.56558E-012	4.40103E-010	
32	2/22/2019	3:56:36:35 PM	84.359	2.59167E-010	6.72895E-012	7.56811E-012	4.39936E-010	
33	2/22/2019	3:56:38:81 PM	86.813	2.58648E-010	6.7182E-012	7.58434E-012	4.39588E-010	
34	2/22/2019	3:56:41:26 PM	89.266	2.56775E-010	7.21889E-012	7.54695E-012	4.39168E-010	
35	2/22/2019	3:56:43:71 PM	91.719	2.58184E-010	7.06355E-012	7.62325E-012	4.38824E-010	
36	2/22/2019	3:56:46:15 PM	94.156	2.57331E-010	6.69299E-012	7.56257E-012	4.39142E-010	
37	2/22/2019	3:56:48:60 PM	96.609	2.57035E-010	6.81682E-012	7.5446E-012	4.37471E-010	
38	2/22/2019	3:56:51:07 PM	99.078	2.58147E-010	6.71987E-012	7.54591E-012	4.37134E-010	
39	2/22/2019	3:56:53:51 PM	101.516	2.56293E-010	7.03148E-012	7.56042E-012	4.37766E-010	
40	2/22/2019	3:56:55:96 PM	103.969	2.57109E-010	6.81404E-012	7.53896E-012	4.37929E-010	
41	2/22/2019	3:56:58:42 PM	106.422	2.57165E-010	6.79179E-012	7.57722E-012	4.38002E-010	
42	2/22/2019	3:57:00:87 PM	108.875	2.56108E-010	6.78252E-012	7.59589E-012	4.38132E-010	
43	2/22/2019	3:57:03:31 PM	111.313	2.57609E-010	7.03166E-012	7.54014E-012	4.38248E-010	
44	2/22/2019	3:57:05:78 PM	113.781	2.56794E-010	7.12564E-012	7.63401E-012	4.38884E-010	
45	2/22/2019	3:57:08:23 PM	116.234	2.59E-010	7.13936E-012	7.60372E-012	4.39484E-010	
46	2/22/2019	3:57:10:67 PM	118.672	2.55533E-010	7.04334E-012	7.58239E-012	4.38367E-010	
47	2/22/2019	3:57:13:12 PM	121.125	2.57165E-010	6.66259E-012	7.48514E-012	4.37951E-010	
48	2/22/2019	3:57:15:57 PM	123.578	2.56164E-010	6.56008E-012	7.58847E-012	4.37769E-010	
49	2/22/2019	3:57:18:03 PM	126.031	2.56442E-010	6.88819E-012	7.52781E-012	4.38867E-010	
50	2/22/2019	3:57:20:46 PM	128.469	2.57776E-010	6.91191E-012	7.52565E-012	4.38295E-010	
51	2/22/2019	3:57:22:92 PM	130.922	2.5659E-010	6.90172E-012	7.50762E-012	4.39416E-010	
52	2/22/2019	3:57:25:37 PM	133.375	2.55051E-010	6.79253E-012	7.49425E-012	4.37681E-010	
53	2/22/2019	3:57:27:82 PM	135.828	2.56423E-010	6.80829E-012	7.53499E-012	4.37669E-010	
54	2/22/2019	3:57:30:28 PM	138.281	2.5481E-010	6.71023E-012	7.54837E-012	4.36446E-010	
55	2/22/2019	3:57:32:71 PM	140.719	2.56015E-010	7.03352E-012	7.52122E-012	4.36481E-010	
56	2/22/2019	3:57:35:17 PM	143.172	2.55589E-010	6.66704E-012	7.55413E-012	4.38135E-010	
57	2/22/2019	3:57:37:64 PM	145.641	2.56293E-010	6.95566E-012	7.61053E-012	4.38392E-010	
58	2/22/2019	3:57:40:09 PM	148.094	2.57165E-010	7.02054E-012	7.52861E-012	4.3675E-010	
59	2/22/2019	3:57:42:54 PM	150.547	2.56145E-010	6.67593E-012	7.54703E-012	4.36865E-010	
60	2/22/2019	3:57:44:98 PM	152.984	2.55867E-010	6.6472E-012	7.51536E-012	4.36806E-010	
61	2/22/2019	3:57:47:45 PM	155.453	2.56293E-010	6.85018E-012	7.51757E-012	4.37186E-010	
62	2/22/2019	3:57:49:90 PM	157.906	2.54922E-010	6.74786E-012	7.49854E-012	4.36471E-010	
63	2/22/2019	3:57:52:34 PM	160.344	2.55441E-010	6.66982E-012	7.53002E-012	4.35447E-010	
64	2/22/2019	3:57:54:79 PM	162.797	2.552E-010	6.627E-012	7.53456E-012	4.36114E-010	
65	2/22/2019	3:57:57:25 PM	165.25	2.5646E-010	7.05076E-012	7.50958E-012	4.3673E-010	
66	2/22/2019	3:57:59:70 PM	167.703	2.55941E-010	6.87891E-012	7.50087E-012	4.36608E-010	
67	2/22/2019	3:58:02:15 PM	170.156	2.56905E-010	6.7384E-012	7.57091E-012	4.37662E-010	
68	2/22/2019	3:58:04:59 PM	172.594	2.57331E-010	6.81181E-012	7.53575E-012	4.37404E-010	
