ASCII SAMPLE CYCLES :			3.mdc
DATE :	2/22/2019	TIME :	2:52:35 PM
CONVERTED CYCLES :			184
Number of stored cycles			184
Printed start cycle			1
Printed end cycle			184
Number of stored datablocks			1
Datablock 0	Ion Current	[A]	
'0/0'	40.00	min:	2.4506E-010	max:	2.52616E-010	
'0/1'	44.00	min:	6.1708E-012	max:	7.24187E-012	
'0/2'	28.00	min:	7.35579E-012	max:	7.6642E-012	
'0/3'	32.00	min:	4.26812E-010	max:	4.36926E-010	
Cycle	Date	Time	RelTime[s]	'0/0'	'0/1'	'0/2'	'0/3'	
1	2/22/2019	2:52:35:00 PM	0	2.4934E-010	6.57194E-012	7.45605E-012	4.3256E-010	
2	2/22/2019	2:52:37:45 PM	2.453	2.50065E-010	6.18044E-012	7.48804E-012	4.34012E-010	
3	2/22/2019	2:52:39:90 PM	4.906	2.50436E-010	6.59789E-012	7.48511E-012	4.34198E-010	
4	2/22/2019	2:52:42:35 PM	7.359	2.51177E-010	6.37285E-012	7.45484E-012	4.31699E-010	
5	2/22/2019	2:52:44:81 PM	9.812	2.50426E-010	6.71153E-012	7.47459E-012	4.33048E-010	
6	2/22/2019	2:52:47:26 PM	12.265	2.5025E-010	6.55007E-012	7.42937E-012	4.32631E-010	
7	2/22/2019	2:52:49:71 PM	14.718	2.49886E-010	6.42569E-012	7.45916E-012	4.32647E-010	
8	2/22/2019	2:52:52:15 PM	17.156	2.51524E-010	6.62459E-012	7.44311E-012	4.32706E-010	
9	2/22/2019	2:52:54:60 PM	19.609	2.48397E-010	6.57676E-012	7.38651E-012	4.31935E-010	
10	2/22/2019	2:52:57:06 PM	22.062	2.49323E-010	6.67204E-012	7.41852E-012	4.32594E-010	
11	2/22/2019	2:52:59:51 PM	24.515	2.49548E-010	6.55804E-012	7.44763E-012	4.33266E-010	
12	2/22/2019	2:53:01:95 PM	26.953	2.49886E-010	6.49335E-012	7.45524E-012	4.33949E-010	
13	2/22/2019	2:53:04:40 PM	29.406	2.50621E-010	6.31632E-012	7.43994E-012	4.33551E-010	
14	2/22/2019	2:53:19:92 PM	44.921	2.49905E-010	6.81441E-012	7.41108E-012	4.33017E-010	
15	2/22/2019	2:53:22:39 PM	47.39	2.50432E-010	6.39102E-012	7.43411E-012	4.33717E-010	
16	2/22/2019	2:53:24:84 PM	49.843	2.51919E-010	6.45127E-012	7.4574E-012	4.3349E-010	
17	2/22/2019	2:53:27:28 PM	52.281	2.50787E-010	6.47444E-012	7.47534E-012	4.33468E-010	
18	2/22/2019	2:53:29:73 PM	54.734	2.50953E-010	6.74693E-012	7.48663E-012	4.34982E-010	
19	2/22/2019	2:53:32:18 PM	57.187	2.51548E-010	6.59845E-012	7.48074E-012	4.33966E-010	
20	2/22/2019	2:53:34:64 PM	59.64	2.48953E-010	6.77233E-012	7.44212E-012	4.33713E-010	
21	2/22/2019	2:53:37:09 PM	62.093	2.51524E-010	6.80217E-012	7.46675E-012	4.34016E-010	
22	2/22/2019	2:53:39:54 PM	64.546	2.50071E-010	6.63015E-012	7.45031E-012	4.33763E-010	
23	2/22/2019	2:53:42:00 PM	67	2.51177E-010	6.51151E-012	7.4381E-012	4.33688E-010	
24	2/22/2019	2:53:44:43 PM	69.437	2.51177E-010	6.70374E-012	7.48043E-012	4.33982E-010	
25	2/22/2019	2:53:46:90 PM	71.906	2.51859E-010	6.1708E-012	7.43179E-012	4.32532E-010	
26	2/22/2019	2:53:49:35 PM	74.359	2.50608E-010	6.23698E-012	7.43251E-012	4.33775E-010	
27	2/22/2019	2:53:51:79 PM	76.796	2.5116E-010	6.48E-012	7.50183E-012	4.34298E-010	
28	2/22/2019	2:53:54:25 PM	79.25	2.51177E-010	6.45831E-012	7.46405E-012	4.319E-010	
29	2/22/2019	2:53:56:70 PM	81.703	2.50806E-010	6.54822E-012	7.35579E-012	4.32696E-010	
30	2/22/2019	2:53:59:15 PM	84.156	2.49522E-010	6.78438E-012	7.42788E-012	4.32908E-010	
31	2/22/2019	2:54:01:60 PM	86.609	2.50432E-010	6.74119E-012	7.43496E-012	4.31848E-010	
32	2/22/2019	2:54:04:06 PM	89.062	2.50065E-010	6.68557E-012	7.45129E-012	4.31924E-010	
33	2/22/2019	2:54:06:51 PM	91.515	2.49548E-010	6.46795E-012	7.48927E-012	4.32893E-010	
34	2/22/2019	2:54:08:95 PM	93.953	2.51524E-010	6.72821E-012	7.40842E-012	4.32955E-010	
35	2/22/2019	2:54:11:40 PM	96.406	2.49879E-010	6.64776E-012	7.36289E-012	4.32159E-010	
36	2/22/2019	2:54:13:85 PM	98.859	2.49138E-010	6.57305E-012	7.45754E-012	4.33427E-010	
37	2/22/2019	2:54:16:31 PM	101.312	2.50965E-010	6.36859E-012	7.48297E-012	4.33443E-010	
38	2/22/2019	2:54:18:75 PM	103.75	2.50432E-010	6.51244E-012	7.43613E-012	4.32958E-010	
39	2/22/2019	2:54:21:20 PM	106.203	2.50614E-010	6.34598E-012	7.44808E-012	4.34464E-010	
40	2/22/2019	2:54:23:65 PM	108.656	2.5025E-010	6.55934E-012	7.43323E-012	4.32554E-010	
41	2/22/2019	2:54:26:10 PM	111.109	2.49548E-010	6.35228E-012	7.48164E-012	4.32955E-010	
42	2/22/2019	2:54:28:56 PM	113.562	2.51363E-010	6.94361E-012	7.45312E-012	4.32273E-010	
43	2/22/2019	2:54:31:03 PM	116.031	2.50614E-010	6.37397E-012	7.43718E-012	4.32557E-010	
44	2/22/2019	2:54:33:46 PM	118.468	2.50621E-010	6.85222E-012	7.44788E-012	4.31533E-010	
45	2/22/2019	2:54:35:92 PM	120.921	2.50065E-010	6.52912E-012	7.49804E-012	4.32358E-010	
