ASCII SAMPLE CYCLES :			h2_co2_constant_total_pressure_15ml.mdc
DATE :	2/19/2019	TIME :	3:26:53 PM
CONVERTED CYCLES :			40103
Number of stored cycles			40103
Printed start cycle			1
Printed end cycle			40103
Number of stored datablocks			1
Datablock 0	Ion Current	[A]	
'0/0'	2.00	min:	5.32273E-009	max:	6.13077E-009	
'0/1'	44.00	min:	2.32937E-012	max:	4.24758E-012	
Cycle	Date	Time	RelTime[s]	'0/0'	'0/1'	
1	2/19/2019	3:26:53:00 PM	0	5.99303E-009	3.57876E-012	
2	2/19/2019	3:26:53:17 PM	0.171	6.00779E-009	3.42824E-012	
3	2/19/2019	3:26:53:34 PM	0.343	5.99044E-009	3.40303E-012	
4	2/19/2019	3:26:53:51 PM	0.515	5.9997E-009	3.43862E-012	
5	2/19/2019	3:26:53:68 PM	0.687	5.98784E-009	3.41935E-012	
6	2/19/2019	3:26:53:85 PM	0.859	6.01566E-009	3.18022E-012	
7	2/19/2019	3:26:54:03 PM	1.031	6.00304E-009	3.21655E-012	
8	2/19/2019	3:26:54:18 PM	1.187	6.01453E-009	3.84014E-012	
9	2/19/2019	3:26:54:35 PM	1.359	6.01824E-009	3.45827E-012	
10	2/19/2019	3:26:54:53 PM	1.531	6.00971E-009	3.37226E-012	
11	2/19/2019	3:26:54:70 PM	1.703	6.01416E-009	3.57246E-012	
12	2/19/2019	3:26:54:87 PM	1.875	6.00082E-009	3.08049E-012	
13	2/19/2019	3:26:55:04 PM	2.046	6.02174E-009	3.51166E-012	
14	2/19/2019	3:26:55:21 PM	2.218	5.98413E-009	3.69221E-012	
15	2/19/2019	3:26:55:39 PM	2.39	5.97968E-009	3.29589E-012	
16	2/19/2019	3:26:55:56 PM	2.562	6.01816E-009	3.59656E-012	
17	2/19/2019	3:26:55:73 PM	2.734	6.00304E-009	3.17317E-012	
18	2/19/2019	3:26:55:90 PM	2.906	5.96819E-009	3.25844E-012	
19	2/19/2019	3:26:56:07 PM	3.078	6.00156E-009	3.65847E-012	
20	2/19/2019	3:26:56:25 PM	3.25	5.99155E-009	3.42379E-012	
21	2/19/2019	3:26:56:42 PM	3.421	6.04283E-009	3.76673E-012	
22	2/19/2019	3:26:56:59 PM	3.593	6.01231E-009	3.46717E-012	
23	2/19/2019	3:26:56:76 PM	3.765	6.02825E-009	3.46791E-012	
24	2/19/2019	3:26:56:93 PM	3.937	6.01379E-009	3.83124E-012	
25	2/19/2019	3:26:57:10 PM	4.109	6.00564E-009	3.69777E-012	
26	2/19/2019	3:26:57:26 PM	4.265	5.98599E-009	3.2147E-012	
27	2/19/2019	3:26:57:43 PM	4.437	6.01268E-009	3.63104E-012	
28	2/19/2019	3:26:57:60 PM	4.609	6.00675E-009	3.32406E-012	
29	2/19/2019	3:26:57:78 PM	4.781	6.00452E-009	3.86572E-012	
30	2/19/2019	3:26:57:95 PM	4.953	6.0238E-009	3.28551E-012	
31	2/19/2019	3:26:58:12 PM	5.125	6.0296E-009	3.50832E-012	
32	2/19/2019	3:26:58:29 PM	5.296	6.01935E-009	3.78712E-012	
33	2/19/2019	3:26:58:46 PM	5.468	6.05212E-009	3.37745E-012	
34	2/19/2019	3:26:58:64 PM	5.64	6.04497E-009	3.32888E-012	
35	2/19/2019	3:26:58:79 PM	5.796	5.9997E-009	3.51945E-012	
36	2/19/2019	3:26:58:96 PM	5.968	6.0023E-009	3.47607E-012	
37	2/19/2019	3:26:59:14 PM	6.14	6.04176E-009	3.33482E-012	
38	2/19/2019	3:26:59:31 PM	6.312	6.03566E-009	3.48163E-012	
39	2/19/2019	3:26:59:48 PM	6.484	6.01008E-009	3.12461E-012	
40	2/19/2019	3:26:59:65 PM	6.656	6.03103E-009	3.51203E-012	
41	2/19/2019	3:26:59:82 PM	6.828	6.02121E-009	3.31665E-012	
42	2/19/2019	3:27:00:00 PM	7	5.99748E-009	3.0879E-012	
43	2/19/2019	3:27:00:15 PM	7.156	6.02924E-009	3.40785E-012	
44	2/19/2019	3:27:00:32 PM	7.328	6.02924E-009	3.41119E-012	
45	2/19/2019	3:27:00:50 PM	7.5	6.00267E-009	3.19913E-012	
46	2/19/2019	3:27:00:68 PM	7.687	6.00823E-009	3.5365E-012	
47	2/19/2019	3:27:00:85 PM	7.859	6.01379E-009	3.02673E-012	
48	2/19/2019	3:27:01:03 PM	8.031	6.00452E-009	3.43751E-012	
49	2/19/2019	3:27:01:20 PM	8.203	6.0238E-009	3.02376E-012	
50	2/19/2019	3:27:01:37 PM	8.375	6.0023E-009	3.33074E-012	
51	2/19/2019	3:27:01:54 PM	8.546	6.03307E-009	3.84236E-012	
