ASCII SAMPLE CYCLES :			3.mdc
DATE :	2/22/2019	TIME :	2:52:35 PM
CONVERTED CYCLES :			19
Number of stored cycles			19
Printed start cycle			1
Printed end cycle			19
Number of stored datablocks			1
Datablock 0	Ion Current	[A]	
'0/0'	40.00	min:	2.48397E-010	max:	2.51919E-010	
'0/1'	44.00	min:	6.18044E-012	max:	6.81441E-012	
'0/2'	28.00	min:	7.38651E-012	max:	7.48804E-012	
'0/3'	32.00	min:	4.31699E-010	max:	4.34982E-010	
Cycle	Date	Time	RelTime[s]	'0/0'	'0/1'	'0/2'	'0/3'	
1	2/22/2019	2:52:35:00 PM	0	2.4934E-010	6.57194E-012	7.45605E-012	4.3256E-010	
2	2/22/2019	2:52:37:45 PM	2.453	2.50065E-010	6.18044E-012	7.48804E-012	4.34012E-010	
3	2/22/2019	2:52:39:90 PM	4.906	2.50436E-010	6.59789E-012	7.48511E-012	4.34198E-010	
4	2/22/2019	2:52:42:35 PM	7.359	2.51177E-010	6.37285E-012	7.45484E-012	4.31699E-010	
5	2/22/2019	2:52:44:81 PM	9.812	2.50426E-010	6.71153E-012	7.47459E-012	4.33048E-010	
6	2/22/2019	2:52:47:26 PM	12.265	2.5025E-010	6.55007E-012	7.42937E-012	4.32631E-010	
7	2/22/2019	2:52:49:71 PM	14.718	2.49886E-010	6.42569E-012	7.45916E-012	4.32647E-010	
8	2/22/2019	2:52:52:15 PM	17.156	2.51524E-010	6.62459E-012	7.44311E-012	4.32706E-010	
9	2/22/2019	2:52:54:60 PM	19.609	2.48397E-010	6.57676E-012	7.38651E-012	4.31935E-010	
10	2/22/2019	2:52:57:06 PM	22.062	2.49323E-010	6.67204E-012	7.41852E-012	4.32594E-010	
11	2/22/2019	2:52:59:51 PM	24.515	2.49548E-010	6.55804E-012	7.44763E-012	4.33266E-010	
12	2/22/2019	2:53:01:95 PM	26.953	2.49886E-010	6.49335E-012	7.45524E-012	4.33949E-010	
13	2/22/2019	2:53:04:40 PM	29.406	2.50621E-010	6.31632E-012	7.43994E-012	4.33551E-010	
14	2/22/2019	2:53:19:92 PM	44.921	2.49905E-010	6.81441E-012	7.41108E-012	4.33017E-010	
15	2/22/2019	2:53:22:39 PM	47.39	2.50432E-010	6.39102E-012	7.43411E-012	4.33717E-010	
16	2/22/2019	2:53:24:84 PM	49.843	2.51919E-010	6.45127E-012	7.4574E-012	4.3349E-010	
17	2/22/2019	2:53:27:28 PM	52.281	2.50787E-010	6.47444E-012	7.47534E-012	4.33468E-010	
18	2/22/2019	2:53:29:73 PM	54.734	2.50953E-010	6.74693E-012	7.48663E-012	4.34982E-010	
19	2/22/2019	2:53:32:18 PM	57.187	2.51548E-010	6.59845E-012	7.48074E-012	4.33966E-010	
